,aug_id,original_id,sample_frequency,name,description,units,source,url,domain,subdomain,tags,country_name,country_code,region_name,region_code,state,country,city,locality,nieghbourhood,location,map_coordinates,timestamps
110,GDACS_1307659,1307659,7 days,"Green earthquake alert (Magnitude 4.5M, Depth:61.21km) in Japan 26/01/2022 21:09 UTC, 34630000 people within 100km.","On 1/26/2022 9:09:15 PM, an earthquake occurred in Japan potentially affecting 34630000 people within 100km. The earthquake had Magnitude 4.5M, Depth:61.21km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307659,gdacs.org,www,"['EQ', 'Green']",Japan,JPN,East Asia & Pacific,EAS,Ibaraki,Japan,Kōda,,,"Kōda, Ibaraki, Japan","['35.9284', '140.4239']","['Wed, 26 Jan 2022 21:09:15 GMT', 'Wed, 26 Jan 2022 21:09:15 GMT']"
111,GDACS_1307651,1307651,7 days,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Chile 26/01/2022 19:42 UTC, 150000 people within 100km.","On 1/26/2022 7:42:52 PM, an earthquake occurred in Chile potentially affecting 150000 people within 100km. The earthquake had Magnitude 4.5M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307651,gdacs.org,www,"['EQ', 'Green']",Chile,CHL,Latin America & Caribbean,LCN,Antofagasta,Chile,San Bartolo,,,"San Bartolo, Antofagasta, Chile","['-22.775', '-68.4971']","['Wed, 26 Jan 2022 19:42:52 GMT', 'Wed, 26 Jan 2022 19:42:52 GMT']"
112,GDACS_1307637,1307637,7 days,"Green earthquake alert (Magnitude 4.7M, Depth:40.52km) in Indonesia 26/01/2022 18:02 UTC, About 2000 people within 100km.","On 1/26/2022 6:02:41 PM, an earthquake occurred in Indonesia potentially affecting About 2000 people within 100km. The earthquake had Magnitude 4.7M, Depth:40.52km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307637,gdacs.org,www,"['EQ', 'Green']",Indonesia,IDN,East Asia & Pacific,EAS,North Maluku,Indonesia,Pasirputih,,,"Pasirputih, North Maluku, Indonesia","['1.5201', '126.5777']","['Wed, 26 Jan 2022 18:02:41 GMT', 'Wed, 26 Jan 2022 18:02:41 GMT']"
113,GDACS_1307772,1307772,7 days,"Green earthquake alert (Magnitude 5.6M, Depth:10km) in Antarctica 26/01/2022 16:36 UTC, No people within 100km.","On 1/26/2022 4:36:19 PM, an earthquake occurred in Antarctica potentially affecting No people within 100km. The earthquake had Magnitude 5.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307772,gdacs.org,www,"['EQ', 'Green']",Antarctica,ATA,,,,,,,,,"['-63.5138', '169.9041']","['Wed, 26 Jan 2022 16:36:19 GMT', 'Wed, 26 Jan 2022 16:36:19 GMT']"
114,GDACS_1307587,1307587,7 days,"Green earthquake alert (Magnitude 4.9M, Depth:56.5km) in Vanuatu 26/01/2022 11:11 UTC, About 30000 people within 100km.","On 1/26/2022 11:11:41 AM, an earthquake occurred in Vanuatu potentially affecting About 30000 people within 100km. The earthquake had Magnitude 4.9M, Depth:56.5km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307587,gdacs.org,www,"['EQ', 'Green']",Vanuatu,VUT,East Asia & Pacific,EAS,Tafea,Vanuatu,Bouniakoup,,,"Bouniakoup, Tafea, Vanuatu","['-19.2329', '168.5554']","['Wed, 26 Jan 2022 11:11:41 GMT', 'Wed, 26 Jan 2022 11:11:41 GMT']"
115,GDACS_1307578,1307578,7 days,"Green earthquake alert (Magnitude 4.9M, Depth:62.25km) in Indonesia 26/01/2022 09:52 UTC, No people within 100km.","On 1/26/2022 9:52:42 AM, an earthquake occurred in Indonesia potentially affecting No people within 100km. The earthquake had Magnitude 4.9M, Depth:62.25km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307578,gdacs.org,www,"['EQ', 'Green']",Indonesia,IDN,East Asia & Pacific,EAS,,,,,,,"['4.2674', '128.285']","['Wed, 26 Jan 2022 09:52:42 GMT', 'Wed, 26 Jan 2022 09:52:42 GMT']"
116,GDACS_1307667,1307667,7 days,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in Tonga 26/01/2022 09:39 UTC, About 84000 people within 100km.","On 1/26/2022 9:39:49 AM, an earthquake occurred in Tonga potentially affecting About 84000 people within 100km. The earthquake had Magnitude 4.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307667,gdacs.org,www,"['EQ', 'Green']",Tonga,TON,East Asia & Pacific,EAS,Vava‘u,Tonga,Kotomaka,,,"Kotomaka, Vava‘u, Tonga","['-20.523', '-175.2148']","['Wed, 26 Jan 2022 09:39:49 GMT', 'Wed, 26 Jan 2022 09:39:49 GMT']"
117,GDACS_1307554,1307554,7 days,"Green earthquake alert (Magnitude 4.8M, Depth:10km) in United States 26/01/2022 04:31 UTC, No people within 100km.","On 1/26/2022 4:31:23 AM, an earthquake occurred in United States potentially affecting No people within 100km. The earthquake had Magnitude 4.8M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307554,gdacs.org,www,"['EQ', 'Green']",United States,USA,North America,NAC,Alaska,United States,Amchitka,,,"Amchitka, Alaska, United States","['51.9689', '178.2999']","['Wed, 26 Jan 2022 04:31:23 GMT', 'Wed, 26 Jan 2022 04:31:23 GMT']"
118,GDACS_1307582,1307582,7 days,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in Venezuela 26/01/2022 03:41 UTC, No people within 100km.","On 1/26/2022 3:41:56 AM, an earthquake occurred in Venezuela potentially affecting No people within 100km. The earthquake had Magnitude 4.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307582,gdacs.org,www,"['EQ', 'Green']",Venezuela,VEN,Latin America & Caribbean,LCN,Monagas,Venezuela,Campo de Tiro,,,"Campo de Tiro, Monagas, Venezuela","['10.0852', '-59.5845']","['Wed, 26 Jan 2022 03:41:56 GMT', 'Wed, 26 Jan 2022 03:41:56 GMT']"
119,GDACS_1307545,1307545,7 days,"Green earthquake alert (Magnitude 5M, Depth:10km) in The Democratic Republic of Congo 26/01/2022 02:06 UTC, 290000 people within 100km.","On 1/26/2022 2:06:10 AM, an earthquake occurred in The Democratic Republic of Congo potentially affecting 290000 people within 100km. The earthquake had Magnitude 5M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1307545,gdacs.org,www,"['EQ', 'Green']",The Democratic Republic of Congo,COD,Sub-Saharan Africa,SSF,Tanganyika,DR Congo,Kabanga-Kasinda,,,"Kabanga-Kasinda, Tanganyika, DR Congo","['-7.2773', '27.9681']","['Wed, 26 Jan 2022 02:06:10 GMT', 'Wed, 26 Jan 2022 02:06:10 GMT']"
