id,Null,uptime,country,location,ships,distinct,contributor,status,timezone,time,date
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
3061,,100 %,  Argentina,Buenos Aires,30,30,,Online,India Standard Time,12/10/2021,18:18:50
2360,,100 %,  Australia,Port Hedland,148,148,,Online,India Standard Time,12/10/2021,18:18:50
2637,,72 %,  Australia,Devonport,8,7,,Online,India Standard Time,12/10/2021,18:18:50
2556,,100 %,  Australia,Franklin,10,10,,Online,India Standard Time,12/10/2021,18:18:50
2995,,100 %,  Australia,Kingston,8,7,,Online,India Standard Time,12/10/2021,18:18:50
3292,,99 %,  Australia,"Oakleigh, Victoria",5,5,SARCNET,Online,India Standard Time,12/10/2021,18:18:50
2999,,100 %,  Australia,Mount Hicks,2,1,,Online,India Standard Time,12/10/2021,18:18:50
2234,,95 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,12/10/2021,18:18:50
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,12/10/2021,18:18:50
2701,,100 %,  Australia,O'Connor,69,69,,Online,India Standard Time,12/10/2021,18:18:50
2070,,100 %,  Australia,"Nelson Bay, NSW",43,43,,Online,India Standard Time,12/10/2021,18:18:50
2288,,99 %,  Australia,Johanna,5,5,,Online,India Standard Time,12/10/2021,18:18:50
2936,,87 %,  Australia,Kettering,22,21,,Online,India Standard Time,12/10/2021,18:18:50
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
2502,,100 %,  Australia,Scarborough,25,25,,Online,India Standard Time,12/10/2021,18:18:50
2739,,100 %,  Australia,Townsville,80,52,,Online,India Standard Time,12/10/2021,18:18:50
2801,,3 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
2520,,100 %,  Austria,Vienna,16,7,,Online,India Standard Time,12/10/2021,18:18:50
2798,,100 %,  Austria,Linz,28,28,,Online,India Standard Time,12/10/2021,18:18:50
3175,,100 %,  Austria,Vienna,10,1,,Online,India Standard Time,12/10/2021,18:18:50
2984,,76 %,  Azerbaijan,Baku,49,49,,Online,India Standard Time,12/10/2021,18:18:50
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
2127,,100 %,  Belgium,Izegem,70,0,,Online,India Standard Time,12/10/2021,18:18:50
3215,,78 %,  Belgium,Antwerp,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:50
2061,,100 %,  Belgium,Ostend,50,0,,Online,India Standard Time,12/10/2021,18:18:50
3459,,100 %,  Belgium,Oostende,82,3,Flanders Marine Institute,Online,India Standard Time,12/10/2021,18:18:50
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,12/10/2021,18:18:50
2276,,100 %,  Belgium,Schilde,311,15,,Online,India Standard Time,12/10/2021,18:18:50
3075,,100 %,  Belgium,Aalst,1,1,,Online,India Standard Time,12/10/2021,18:18:50
2546,,100 %,  Belgium,Merchtem,29,3,,Online,India Standard Time,12/10/2021,18:18:50
3152,,100 %,  Belgium,Zeebrugge,203,54,Citymesh,Online,India Standard Time,12/10/2021,18:18:50
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,12/10/2021,18:18:50
3483,,79 %,  Belgium,WIjnegem,0,0,,Offline > 24 hours,India Standard Time,12/10/2021,18:18:50
2300,,100 %,  Belgium,Antwerp Harbour 1,261,4,www.vemasys.com,Online,India Standard Time,12/10/2021,18:18:50
2404,,100 %,  Belgium,Bruges,186,25,dotOcean,Online,India Standard Time,12/10/2021,18:18:50
2145,,100 %,  Belgium,Antwerp2,499,133,Tresco Engineering,Online,India Standard Time,12/10/2021,18:18:50
2981,,100 %,  Belgium,Oostende,113,0,,Online,India Standard Time,12/10/2021,18:18:50
3359,,39 %,  Belgium,Schoten,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:50
2292,,100 %,  Belgium,Gent,364,213,,Online,India Standard Time,12/10/2021,18:18:50
3249,,100 %,  Belgium,Antwerp,99,0,,Online,India Standard Time,12/10/2021,18:18:50
2517,,100 %,  Brazil,Belem,190,68,,Online,India Standard Time,12/10/2021,18:18:50
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
2850,,100 %,  Brazil,Fortaleza,13,13,German Aerospace Center (DLR),Online,India Standard Time,12/10/2021,18:18:50
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,12/10/2021,18:18:50
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:50
2019,,100 %,  Canada,"Victoria, BC",27,2,,Online,India Standard Time,12/10/2021,18:18:50
2660,,100 %,  Canada,Sorel-Tracy,13,0,,Online,India Standard Time,12/10/2021,18:18:50
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
3061,,100 %,  Argentina,Buenos Aires,30,30,,Online,India Standard Time,12/10/2021,18:18:51
2999,,100 %,  Australia,Mount Hicks,2,1,,Online,India Standard Time,12/10/2021,18:18:51
2637,,72 %,  Australia,Devonport,8,7,,Online,India Standard Time,12/10/2021,18:18:51
2502,,100 %,  Australia,Scarborough,25,25,,Online,India Standard Time,12/10/2021,18:18:51
2234,,95 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,12/10/2021,18:18:51
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,12/10/2021,18:18:51
2288,,99 %,  Australia,Johanna,5,5,,Online,India Standard Time,12/10/2021,18:18:51
2936,,87 %,  Australia,Kettering,22,21,,Online,India Standard Time,12/10/2021,18:18:51
2701,,100 %,  Australia,O'Connor,69,69,,Online,India Standard Time,12/10/2021,18:18:51
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
2070,,100 %,  Australia,"Nelson Bay, NSW",43,43,,Online,India Standard Time,12/10/2021,18:18:51
2801,,3 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
3292,,99 %,  Australia,"Oakleigh, Victoria",5,5,SARCNET,Online,India Standard Time,12/10/2021,18:18:51
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
2739,,100 %,  Australia,Townsville,80,52,,Online,India Standard Time,12/10/2021,18:18:51
2360,,100 %,  Australia,Port Hedland,148,148,,Online,India Standard Time,12/10/2021,18:18:51
2995,,100 %,  Australia,Kingston,8,7,,Online,India Standard Time,12/10/2021,18:18:51
2556,,100 %,  Australia,Franklin,10,10,,Online,India Standard Time,12/10/2021,18:18:51
2798,,100 %,  Austria,Linz,28,28,,Online,India Standard Time,12/10/2021,18:18:51
3175,,100 %,  Austria,Vienna,10,1,,Online,India Standard Time,12/10/2021,18:18:51
2520,,100 %,  Austria,Vienna,16,7,,Online,India Standard Time,12/10/2021,18:18:51
2984,,76 %,  Azerbaijan,Baku,49,49,,Online,India Standard Time,12/10/2021,18:18:51
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
3459,,100 %,  Belgium,Oostende,82,3,Flanders Marine Institute,Online,India Standard Time,12/10/2021,18:18:51
3152,,100 %,  Belgium,Zeebrugge,203,54,Citymesh,Online,India Standard Time,12/10/2021,18:18:51
2145,,100 %,  Belgium,Antwerp2,499,133,Tresco Engineering,Online,India Standard Time,12/10/2021,18:18:51
3075,,100 %,  Belgium,Aalst,1,1,,Online,India Standard Time,12/10/2021,18:18:51
2292,,100 %,  Belgium,Gent,364,213,,Online,India Standard Time,12/10/2021,18:18:51
2546,,100 %,  Belgium,Merchtem,29,3,,Online,India Standard Time,12/10/2021,18:18:51
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,12/10/2021,18:18:51
3359,,39 %,  Belgium,Schoten,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:51
3483,,79 %,  Belgium,WIjnegem,0,0,,Offline > 24 hours,India Standard Time,12/10/2021,18:18:51
2127,,100 %,  Belgium,Izegem,70,0,,Online,India Standard Time,12/10/2021,18:18:51
2276,,100 %,  Belgium,Schilde,311,15,,Online,India Standard Time,12/10/2021,18:18:51
3249,,100 %,  Belgium,Antwerp,99,0,,Online,India Standard Time,12/10/2021,18:18:51
2300,,100 %,  Belgium,Antwerp Harbour 1,261,4,www.vemasys.com,Online,India Standard Time,12/10/2021,18:18:51
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,12/10/2021,18:18:51
2404,,100 %,  Belgium,Bruges,186,25,dotOcean,Online,India Standard Time,12/10/2021,18:18:51
2981,,100 %,  Belgium,Oostende,113,0,,Online,India Standard Time,12/10/2021,18:18:51
2061,,100 %,  Belgium,Ostend,50,0,,Online,India Standard Time,12/10/2021,18:18:51
3215,,78 %,  Belgium,Antwerp,0,0,,Offline > 10 minutes,India Standard Time,12/10/2021,18:18:51
2850,,100 %,  Brazil,Fortaleza,13,13,German Aerospace Center (DLR),Online,India Standard Time,12/10/2021,18:18:51
3489,,100 %,  Brazil,Maceio,4,4,,Online,India Standard Time,12/10/2021,18:18:51
2929,,0 %,  Brazil,Curitiba,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
2517,,100 %,  Brazil,Belem,190,68,,Online,India Standard Time,12/10/2021,18:18:51
3019,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
2576,,0 %,  Bulgaria,Varna,0,0,,Dead,India Standard Time,12/10/2021,18:18:51
3201,,100 %,  Canada,Sorel-Tracy,18,2,,Online,India Standard Time,12/10/2021,18:18:51
3145,,94 %,  Canada,Vancouver,273,125,,Online,India Standard Time,12/10/2021,18:18:51
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
3061,,100 %,  Argentina,Buenos Aires,30,30,,Online,India Standard Time,12/10/2021,18:18:52
2234,,95 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,12/10/2021,18:18:52
2801,,3 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
2936,,87 %,  Australia,Kettering,22,21,,Online,India Standard Time,12/10/2021,18:18:52
2637,,72 %,  Australia,Devonport,8,7,,Online,India Standard Time,12/10/2021,18:18:52
2360,,100 %,  Australia,Port Hedland,148,148,,Online,India Standard Time,12/10/2021,18:18:52
2070,,100 %,  Australia,"Nelson Bay, NSW",43,43,,Online,India Standard Time,12/10/2021,18:18:52
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,12/10/2021,18:18:52
2556,,100 %,  Australia,Franklin,10,10,,Online,India Standard Time,12/10/2021,18:18:52
2701,,100 %,  Australia,O'Connor,69,69,,Online,India Standard Time,12/10/2021,18:18:52
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
2502,,100 %,  Australia,Scarborough,25,25,,Online,India Standard Time,12/10/2021,18:18:52
2995,,100 %,  Australia,Kingston,8,7,,Online,India Standard Time,12/10/2021,18:18:52
2999,,100 %,  Australia,Mount Hicks,2,1,,Online,India Standard Time,12/10/2021,18:18:52
2288,,99 %,  Australia,Johanna,5,5,,Online,India Standard Time,12/10/2021,18:18:52
2739,,100 %,  Australia,Townsville,80,52,,Online,India Standard Time,12/10/2021,18:18:52
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,12/10/2021,18:18:52
