,place,1996,2001,2006,2009,2011,2012,2013,2014,2016,2016,2018,2019,2020,2021,county_name,sample_frequency,timestamps,name,units,url,domain,country_code,country_name,original_id,aug_id
0,wikidataId/Q1000316,,,,,,,,,2743.0,,,,,,Springhill,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1000316,0
1,wikidataId/Q1001461,,,,,,,,,3708.0,,,,,,Raymond,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1001461,1
2,wikidataId/Q1001646,,,,,344.0,,,,,,,,,,Faro,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1001646,2
3,wikidataId/Q1001810,,,,,,,,,613.0,,,,,,Haines Junction,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1001810,3
4,wikidataId/Q1001811,,,,,,,,,72.0,,,,,,Burwash Landing,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1001811,4
5,wikidataId/Q1004103,,,,,,,,,9706.0,,,,,,Stratford,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1004103,5
6,wikidataId/Q1004113,,,,,,,,,5101.0,,,,,,Westlock,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1004113,6
7,wikidataId/Q1004121,,,,,,,,,989.0,,,,,,Killam,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1004121,7
8,wikidataId/Q1004125,,,,,,,,,824.0,,,,,,Daysland,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1004125,8
9,wikidataId/Q1004192,,,,,,,,,58520.0,,,,,,Saint Boniface,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1004192,9
10,wikidataId/Q1006756,,,,,,,,,2580.0,,,,,,Shippagan,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1006756,10
11,wikidataId/Q1007418,,,,,,,,,19440.0,,,,,,Cobourg,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1007418,11
12,wikidataId/Q1007509,,,,,,,,,15892.0,,,,,,Greater Napanee,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1007509,12
13,wikidataId/Q1008802,,,,,,,,,2620.0,,,,,,Sexsmith,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1008802,13
14,wikidataId/Q1009247,,,,,,,,,5351.0,,,,,,Smithers,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1009247,14
15,wikidataId/Q1009713,,,,,,,,,6664.0,,,,,,Shediac,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1009713,15
16,wikidataId/Q1009832,,,,,,,,,7847.0,,,,,,Innisfail,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1009832,16
17,wikidataId/Q1010790,,,,,,,,,8943.0,,,,,,Qualicum Beach,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1010790,17
18,wikidataId/Q1012625,,,,,,,,,12978.0,,,,,,Dawson Creek,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1012625,18
19,wikidataId/Q1012991,,,,,,,,,7982.0,,,,,,Drumheller,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1012991,19
20,wikidataId/Q1013015,,,,,,,,,5600.0,,,,,,Redcliff,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1013015,20
21,wikidataId/Q1013150,,,,,,,,,1993.0,,,,,,Mattawa,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1013150,21
22,wikidataId/Q1014088,,,,,172.0,,,,,,,,,,Tsiigehtchic,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1014088,22
23,wikidataId/Q1015639,,,,,12220.0,,,,,,,,,,Prince Rupert,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1015639,23
24,wikidataId/Q1016692,,,,,,,,,9882.0,,,,,,Hinton,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1016692,24
25,wikidataId/Q1017477,,,,,,,,,25599.0,,,,,,Courtenay,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1017477,25
26,wikidataId/Q1017691,,,,,,,,,14961.0,,,,,,Cold Lake,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1017691,26
27,wikidataId/Q1018239,,,,,,,,,10278.0,,,,,,Selkirk,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1018239,27
28,wikidataId/Q1018257,,,,,,,,,14828.0,,,,,,"Comox, British Columbia",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1018257,28
29,wikidataId/Q1018271,,,,,,,,,11258.0,,,,,,Estevan,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1018271,29
30,wikidataId/Q1018325,,,,,,,,,13756.0,,,,,,Strathmore,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1018325,30
31,wikidataId/Q1018643,,,,,,,,,4107.0,,,,,,Red Lake,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1018643,31
32,wikidataId/Q1018711,,,,,,,,,3186.0,,,,,,Pictou,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1018711,32
33,wikidataId/Q1018959,,,,,,,,,5348.0,,,,,,Cornwall,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1018959,33
34,wikidataId/Q1019096,,,,,,,,,957.0,,,,,,"Hartland, New Brunswick",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1019096,34
35,wikidataId/Q1019496,,,,,,,,,33890.0,,,,,,Moose Jaw,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1019496,35
36,wikidataId/Q1020179,,,,,,,,,3708.0,,,,,,Golden,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1020179,36
37,wikidataId/Q1020218,,,,,,,,,2828.0,,,,,,Princeton,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1020218,37
38,wikidataId/Q1021766,,,,,,,,,2842.0,,,,,,Rankin Inlet,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1021766,38
39,wikidataId/Q1022127,,,,,,,,,17678.0,,,,,,Port Alberni,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1022127,39
40,wikidataId/Q1022731,,,,,,,,,7235.0,,,,,,Drayton Valley,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1022731,40
41,wikidataId/Q1025947,,,,,,,,,790.0,,,,,,Watson Lake,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1025947,41
42,wikidataId/Q1025990,,,,,,,,,7139.0,,,,,,Merritt,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1025990,42
43,wikidataId/Q1026779,,,,,,,,,8039.0,,,,,,Castlegar,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1026779,43
44,wikidataId/Q1027634,,,,,,,,,8292.0,,,,,,Kapuskasing,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1027634,44
45,wikidataId/Q1030509,,,,,,,,,35138.0,,,,,,Campbell River,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1030509,45
46,wikidataId/Q1030568,,,,,,,,,6883.0,,,,,,Campbellton,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1030568,46
47,wikidataId/Q1035422,,,,,,,,,4248.0,,,,,,Caraquet,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1035422,47
48,wikidataId/Q1035637,,,,,,,,,301.0,,,,,,"Carcross, Yukon",12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1035637,48
49,wikidataId/Q1041701,,,,,,,,,11901.0,,,,,,Carleton Place,12.5,{1996:2021},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,float64,CAN,Canada,wikidataId/Q1041701,49
