,place,1968,1975,1982,1990,1999,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,county_name,sample_frequency,timestamps,name,units,url,domain,country_code,country_name,original_id,aug_id
0,wikidataId/Q1018525,161,186,171,146,166,109.0,100.0,91.0,92.0,94,94.0,93.0,92.0,91.0,89,L'Hospitalet-près-l'Andorre,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q1018525,0
1,wikidataId/Q1073017,907,756,807,820,796,813.0,812.0,812.0,809.0,789,794.0,792.0,789.0,793.0,779,Gognies-Chaussée,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q1073017,1
2,wikidataId/Q1104693,946,884,822,848,810,818.0,821.0,834.0,852.0,853,879.0,886.0,886.0,883.0,866,Vieux-Reng,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q1104693,2
3,wikidataId/Q1110585,201,160,260,336,260,255.0,253.0,250.0,253.0,242,241.0,242.0,244.0,241.0,246,Aragnouet,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q1110585,3
4,wikidataId/Q1160249,2531,2501,3489,3590,3864,3726.0,3722.0,3814.0,3913.0,3989,4014.0,4017.0,3983.0,3954.0,3902,Toufflers,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q1160249,4
5,wikidataId/Q12191,260244,256693,240539,244995,270251,290871.0,290943.0,291504.0,290130.0,284970,296027.0,299682.0,300614.0,306495.0,303382,Nantes,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q12191,5
6,wikidataId/Q12193,154023,166826,156060,147956,149634,148316.0,146519.0,146143.0,145592.0,141303,144868.0,143902.0,143458.0,143027.0,139163,Brest,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q12193,6
7,wikidataId/Q1476,143246,152285,147697,145502,146105,148169.0,148340.0,147739.0,146670.0,142626,147687.0,148100.0,148484.0,147768.0,143325,Le Mans,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q1476,7
8,wikidataId/Q1479,266662,223131,208159,210336,215363,235878.0,238921.0,239642.0,240522.0,239157,243199.0,245223.0,247688.0,250776.0,249712,Bordeaux,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q1479,8
9,wikidataId/Q160506,99268,96132,90829,89988,85832,98937.0,101880.0,104867.0,106927.0,106785,108907.0,109408.0,110480.0,111752.0,111103,Saint-Denis,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q160506,9
10,wikidataId/Q170507,90332,95032,88578,84565,84281,90368.0,90903.0,91587.0,91834.0,89185,91452.0,92738.0,94193.0,95704.0,93742,Nanterre,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q170507,10
11,wikidataId/Q172455,109008,103578,102582,101743,106367,111280.0,112043.0,113236.0,114099.0,114205,117282.0,118313.0,117947.0,118164.0,117931,Boulogne-Billancourt,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q172455,11
12,wikidataId/Q174019,80481,84029,76647,70996,69153,74028.0,74189.0,73315.0,72554.0,70955,72927.0,74495.0,76382.0,77061.0,75999,Béziers,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q174019,12
13,wikidataId/Q180083,25054,25143,25086,29141,28812,28133.0,29129.0,29327.0,29361.0,28858,29512.0,29670.0,28629.0,29061.0,28231,Menton,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q180083,13
14,wikidataId/Q181946,90480,102530,95347,93096,93961,104189.0,104149.0,104843.0,104553.0,103125,105973.0,106580.0,108414.0,110465.0,110388,Argenteuil,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q181946,14
15,wikidataId/Q185066,42620,52976,55524,55132,54204,56761.0,56406.0,56115.0,56168.0,54098,56422.0,56272.0,55945.0,55935.0,53800,Cholet,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q185066,15
16,wikidataId/Q189715,58118,54488,59830,65389,69694,85158.0,85716.0,85743.0,87638.0,87469,89222.0,87575.0,86228.0,85322.0,83136,Courbevoie,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q189715,16
17,wikidataId/Q191415,80113,75431,71077,71850,75837,83044.0,82720.0,82265.0,82223.0,82327,84095.0,84600.0,86848.0,87624.0,86512,Asnières-sur-Seine,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q191415,17
18,wikidataId/Q192378,70419,80291,76176,79486,74237,75485.0,75556.0,75819.0,75772.0,75510,76515.0,76541.0,76577.0,77009.0,76508,Champigny-sur-Marne,2.9375,{1968:2015},Count_Person_over_time,year,https://datacommons.org/tools/statvar#Count_Person,int64,FRA,France,wikidataId/Q192378,18
