URL,Tile_Directory_URL,Name,DateRecorded
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198135.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198135.color/,Sea Surface Temperature,1981-08-24
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198136.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198136.color/,Sea Surface Temperature,1981-08-31
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198137.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198137.color/,Sea Surface Temperature,1981-09-07
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198138.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198138.color/,Sea Surface Temperature,1981-09-14
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198139.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198139.color/,Sea Surface Temperature,1981-09-21
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198140.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198140.color/,Sea Surface Temperature,1981-09-28
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198141.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198141.color/,Sea Surface Temperature,1981-10-05
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198142.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198142.color/,Sea Surface Temperature,1981-10-12
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198143.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198143.color/,Sea Surface Temperature,1981-10-19
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198144.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198144.color/,Sea Surface Temperature,1981-10-26
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198145.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198145.color/,Sea Surface Temperature,1981-11-02
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198146.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198146.color/,Sea Surface Temperature,1981-11-09
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198147.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198147.color/,Sea Surface Temperature,1981-11-16
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198148.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198148.color/,Sea Surface Temperature,1981-11-23
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198149.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198149.color/,Sea Surface Temperature,1981-11-30
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198150.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198150.color/,Sea Surface Temperature,1981-12-07
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198151.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198151.color/,Sea Surface Temperature,1981-12-14
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198152.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198152.color/,Sea Surface Temperature,1981-12-21
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198201.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198201.color/,Sea Surface Temperature,1982-01-04
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198202.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198202.color/,Sea Surface Temperature,1982-01-11
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198203.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198203.color/,Sea Surface Temperature,1982-01-18
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198204.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198204.color/,Sea Surface Temperature,1982-01-25
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198205.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198205.color/,Sea Surface Temperature,1982-02-01
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198206.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198206.color/,Sea Surface Temperature,1982-02-08
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198207.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198207.color/,Sea Surface Temperature,1982-02-15
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198208.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198208.color/,Sea Surface Temperature,1982-02-22
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198209.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198209.color/,Sea Surface Temperature,1982-03-01
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198210.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198210.color/,Sea Surface Temperature,1982-03-08
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198211.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198211.color/,Sea Surface Temperature,1982-03-15
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198212.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198212.color/,Sea Surface Temperature,1982-03-22
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198213.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198213.color/,Sea Surface Temperature,1982-03-29
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198214.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198214.color/,Sea Surface Temperature,1982-04-05
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198215.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198215.color/,Sea Surface Temperature,1982-04-12
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198216.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198216.color/,Sea Surface Temperature,1982-04-19
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198217.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198217.color/,Sea Surface Temperature,1982-04-26
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198218.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198218.color/,Sea Surface Temperature,1982-05-03
https://www.nnvl.noaa.gov/Portal/Products/SURF/Images/Color/Weekly/SURF.weekly.198219.color.png,https://www.nnvl.noaa.gov/Portal/Tiles/SURF/SURF.weekly.198219.color/,Sea Surface Temperature,1982-05-10
