Title,Price per sq feet,Area,Price,Location
"<a class=""srpTuple__dFlex"" href=""/mayfair-virar-garden-phase-2-virar-west-mira-road-and-beyond-npxid-r381395"" target=""blank"">Mayfair Virar Garden Phase 2</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-mayfair-virar-garden-phase-2-virar-west-miraroad-and-beyond-358-sq-ft-npspid-B63014954"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Virar West</h2></a>"
,,,,"<a class=""body_med srpTuple__propertyName"" href=""/2-bhk-bedroom-apartment-flat-for-sale-in-vasant-vihar-mumbai-thane-1200-sq-ft-spid-R63103916"" id=""srp_tuple_property_title"" target=""blank""><h2>2 BHK Apartment in Vasant Vihar</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/sky-city-by-oberoi-realty-borivali-east-mumbai-andheri-dahisar-npxid-r74173"" target=""blank"">Sky City by Oberoi Realty</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/3-bhk-bedroom-apartment-flat-for-sale-in-sky-city-by-oberoi-realty-borivali-east-mumbai-andheri-dahisar-1073-sq-ft-to-1314-sq-ft-npspid-Z59197382"" id=""srp_tuple_property_title"" target=""blank""><h2>3 BHK Apartment in Borivali (East)</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/prestige-jasdan-classic-mahalaxmi-mumbai-south-npxid-r382164"" target=""blank"">Prestige Jasdan Classic</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/2-bhk-bedroom-apartment-flat-for-sale-in-prestige-jasdan-classic-mahalaxmi-south-mumbai-883-sq-ft-npspid-S62878366"" id=""srp_tuple_property_title"" target=""blank""><h2>2 BHK Apartment in Mahalaxmi</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/maxima-by-oberoi-realty-jvlr-mumbai-andheri-dahisar-npxid-r311075"" target=""blank"">Maxima by Oberoi Realty</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/3-bhk-bedroom-apartment-flat-for-sale-in-maxima-by-oberoi-realty-j-v-l-r-mumbai-andheri-dahisar-1381-sq-ft-to-1397-sq-ft-npspid-N58380288"" id=""srp_tuple_property_title"" target=""blank""><h2>3 BHK Apartment in JVLR</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/prestige-jasdan-classic-mahalaxmi-mumbai-south-npxid-r382164"" target=""blank"">Prestige Jasdan Classic</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/3-bhk-bedroom-apartment-flat-for-sale-in-prestige-jasdan-classic-mahalaxmi-south-mumbai-1245-sq-ft-npspid-G62878370"" id=""srp_tuple_property_title"" target=""blank""><h2>3 BHK Apartment in Mahalaxmi</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/provident-palmvista-shilphata-mumbai-navi-npxid-r375092"" target=""blank"">Provident Palmvista</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/2-bhk-bedroom-apartment-flat-for-sale-in-provident-palmvista-shilphata-mumbai-navi-740-sq-ft-npspid-X61823316"" id=""srp_tuple_property_title"" target=""blank""><h2>2 BHK Apartment in Shilphata</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/provident-palmvista-shilphata-mumbai-navi-npxid-r375092"" target=""blank"">Provident Palmvista</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-provident-palmvista-shilphata-mumbai-navi-380-sq-ft-npspid-W61823314"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Shilphata</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/jindal-avenue-panvel-mumbai-navi-npxid-r383717"" target=""blank"">Jindal Avenue</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/1-bhk-bedroom-apartment-flat-for-sale-in-jindal-avenue-panvel-navi-mumbai-353-sq-ft-npspid-W63129502"" id=""srp_tuple_property_title"" target=""blank""><h2>1 BHK Apartment in Panvel</h2></a>"
"<a class=""srpTuple__dFlex"" href=""/eternia-by-oberoi-realty-mulund-west-central-mumbai-suburbs-npxid-r106169"" target=""blank"">Eternia by Oberoi Realty</a>",,,,"<a class=""body_med srpTuple__propertyName"" href=""/3-bhk-bedroom-apartment-flat-for-sale-in-eternia-by-oberoi-realty-mulund-west-central-mumbai-suburbs-912-sq-ft-to-1050-sq-ft-npspid-R58507308"" id=""srp_tuple_property_title"" target=""blank""><h2>3 BHK Apartment in Mulund (West)</h2></a>"
