,index,0,aug_id,Domain,Coordinates,Country Name
0,2013,155010703,DC2013,Data Commons,"[39.7837304, -100.445882]",USA
1,2014,156258063,DC2014,Data Commons,"[39.7837304, -100.445882]",USA
2,2012,153799504,DC2012,Data Commons,"[39.7837304, -100.445882]",USA
3,2011,152533769,DC2011,Data Commons,"[39.7837304, -100.445882]",USA
4,2020,162365120,DC2020,Data Commons,"[39.7837304, -100.445882]",USA
5,2019,161465237,DC2019,Data Commons,"[39.7837304, -100.445882]",USA
6,2015,157448140,DC2015,Data Commons,"[39.7837304, -100.445882]",USA
7,2018,160597055,DC2018,Data Commons,"[39.7837304, -100.445882]",USA
8,2017,159672750,DC2017,Data Commons,"[39.7837304, -100.445882]",USA
9,2016,158451109,DC2016,Data Commons,"[39.7837304, -100.445882]",USA
