,index,0,aug_id,Domain,Coordinates,Country Name
0,2004,62295000,DC2004,Data Commons,"[36.5748441, 139.2394179]",Japan
1,2013,61909000,DC2013,Data Commons,"[36.5748441, 139.2394179]",Japan
2,2001,62244000,DC2001,Data Commons,"[36.5748441, 139.2394179]",Japan
3,2012,62030000,DC2012,Data Commons,"[36.5748441, 139.2394179]",Japan
4,2014,61799000,DC2014,Data Commons,"[36.5748441, 139.2394179]",Japan
5,2002,62252000,DC2002,Data Commons,"[36.5748441, 139.2394179]",Japan
6,1997,61798000,DC1997,Data Commons,"[36.5748441, 139.2394179]",Japan
7,2003,62304000,DC2003,Data Commons,"[36.5748441, 139.2394179]",Japan
8,2018,61532000,DC2018,Data Commons,"[36.5748441, 139.2394179]",Japan
9,2010,62329000,DC2010,Data Commons,"[36.5748441, 139.2394179]",Japan
10,1995,61485900,DC1995,Data Commons,"[36.5748441, 139.2394179]",Japan
11,1999,61972000,DC1999,Data Commons,"[36.5748441, 139.2394179]",Japan
12,2015,61829300,DC2015,Data Commons,"[36.5748441, 139.2394179]",Japan
13,1996,61684000,DC1996,Data Commons,"[36.5748441, 139.2394179]",Japan
14,2016,61766000,DC2016,Data Commons,"[36.5748441, 139.2394179]",Japan
15,2009,62133000,DC2009,Data Commons,"[36.5748441, 139.2394179]",Japan
16,2017,61656000,DC2017,Data Commons,"[36.5748441, 139.2394179]",Japan
17,2000,62109000,DC2000,Data Commons,"[36.5748441, 139.2394179]",Japan
18,2006,62329000,DC2006,Data Commons,"[36.5748441, 139.2394179]",Japan
19,2011,62182000,DC2011,Data Commons,"[36.5748441, 139.2394179]",Japan
20,1998,61919000,DC1998,Data Commons,"[36.5748441, 139.2394179]",Japan
21,2005,62350000,DC2005,Data Commons,"[36.5748441, 139.2394179]",Japan
22,2008,62252000,DC2008,Data Commons,"[36.5748441, 139.2394179]",Japan
23,2007,62309000,DC2007,Data Commons,"[36.5748441, 139.2394179]",Japan
