,time,datetime,LST_Day_1km
4,1578182400000,2020-01-05,-7.029999999999973
6,1578355200000,2020-01-07,-15.729999999999961
7,1578441600000,2020-01-08,-12.769999999999982
8,1578528000000,2020-01-09,-15.009999999999991
14,1579046400000,2020-01-15,-16.22999999999996
16,1579219200000,2020-01-17,-11.229999999999961
20,1579564800000,2020-01-21,-11.949999999999989
23,1579824000000,2020-01-24,-16.529999999999973
27,1580169600000,2020-01-28,-6.889999999999986
29,1580342400000,2020-01-30,-10.909999999999968
39,1581206400000,2020-02-09,-9.229999999999961
41,1581379200000,2020-02-11,-0.08999999999997499
46,1581811200000,2020-02-16,-12.449999999999989
48,1581984000000,2020-02-18,-8.989999999999952
52,1582329600000,2020-02-22,-9.649999999999977
55,1582588800000,2020-02-25,-5.75
64,1583366400000,2020-03-05,-4.389999999999986
87,1585353600000,2020-03-28,-0.9699999999999704
90,1585612800000,2020-03-31,0.3100000000000023
91,1585699200000,2020-04-01,7.230000000000018
92,1585785600000,2020-04-02,7.7900000000000205
94,1585958400000,2020-04-04,3.910000000000025
95,1586044800000,2020-04-05,11.990000000000009
96,1586131200000,2020-04-06,3.0100000000000477
98,1586304000000,2020-04-08,3.910000000000025
99,1586390400000,2020-04-09,8.150000000000034
100,1586476800000,2020-04-10,12.970000000000027
101,1586563200000,2020-04-11,16.33000000000004
102,1586649600000,2020-04-12,20.710000000000036
103,1586736000000,2020-04-13,11.57000000000005
105,1586908800000,2020-04-15,7.730000000000018
107,1587081600000,2020-04-17,16.49000000000001
108,1587168000000,2020-04-18,20.590000000000032
119,1588118400000,2020-04-29,18.730000000000018
120,1588204800000,2020-04-30,27.05000000000001
121,1588291200000,2020-05-01,16.590000000000032
126,1588723200000,2020-05-06,20.410000000000025
128,1588896000000,2020-05-08,16.29000000000002
133,1589328000000,2020-05-13,21.090000000000032
134,1589414400000,2020-05-14,14.190000000000055
135,1589500800000,2020-05-15,20.750000000000057
138,1589760000000,2020-05-18,23.190000000000055
147,1590537600000,2020-05-27,23.950000000000045
148,1590624000000,2020-05-28,11.850000000000023
149,1590710400000,2020-05-29,16.630000000000052
152,1590969600000,2020-06-01,16.890000000000043
153,1591056000000,2020-06-02,19.430000000000007
155,1591228800000,2020-06-04,10.830000000000041
156,1591315200000,2020-06-05,18.630000000000052
158,1591488000000,2020-06-07,14.590000000000032
159,1591574400000,2020-06-08,23.130000000000052
160,1591660800000,2020-06-09,12.670000000000016
162,1591833600000,2020-06-11,18.130000000000052
163,1591920000000,2020-06-12,18.810000000000002
165,1592092800000,2020-06-14,16.010000000000048
166,1592179200000,2020-06-15,20.99000000000001
167,1592265600000,2020-06-16,25.190000000000055
168,1592352000000,2020-06-17,21.05000000000001
178,1593216000000,2020-06-27,16.230000000000018
179,1593302400000,2020-06-28,22.870000000000005
182,1593561600000,2020-07-01,20.690000000000055
183,1593648000000,2020-07-02,23.130000000000052
187,1593993600000,2020-07-06,18.670000000000016
188,1594080000000,2020-07-07,16.210000000000036
189,1594166400000,2020-07-08,23.690000000000055
190,1594252800000,2020-07-09,24.250000000000057
191,1594339200000,2020-07-10,23.910000000000025
192,1594425600000,2020-07-11,18.590000000000032
193,1594512000000,2020-07-12,22.110000000000014
195,1594684800000,2020-07-14,23.670000000000016
197,1594857600000,2020-07-16,21.29000000000002
200,1595116800000,2020-07-19,18.610000000000014
201,1595203200000,2020-07-20,15.770000000000039
202,1595289600000,2020-07-21,23.370000000000005
204,1595462400000,2020-07-23,28.210000000000036
206,1595635200000,2020-07-25,25.410000000000025
207,1595721600000,2020-07-26,28.710000000000036
208,1595808000000,2020-07-27,22.53000000000003
209,1595894400000,2020-07-28,21.690000000000055
212,1596153600000,2020-07-31,18.970000000000027
213,1596240000000,2020-08-01,25.150000000000034
214,1596326400000,2020-08-02,22.250000000000057
221,1596931200000,2020-08-09,19.430000000000007
222,1597017600000,2020-08-10,19.510000000000048
224,1597190400000,2020-08-12,16.610000000000014
227,1597449600000,2020-08-15,16.53000000000003
228,1597536000000,2020-08-16,19.170000000000016
232,1597881600000,2020-08-20,16.230000000000018
233,1597968000000,2020-08-21,15.29000000000002
236,1598227200000,2020-08-24,18.05000000000001
238,1598400000000,2020-08-26,20.250000000000057
253,1599696000000,2020-09-10,15.590000000000032
254,1599782400000,2020-09-11,15.53000000000003
255,1599868800000,2020-09-12,15.890000000000043
256,1599955200000,2020-09-13,13.770000000000039
257,1600041600000,2020-09-14,15.250000000000057
258,1600128000000,2020-09-15,16.55000000000001
266,1600819200000,2020-09-23,10.450000000000045
267,1600905600000,2020-09-24,14.110000000000014
268,1600992000000,2020-09-25,14.150000000000034
269,1601078400000,2020-09-26,19.090000000000032
270,1601164800000,2020-09-27,8.07000000000005
271,1601251200000,2020-09-28,9.150000000000034
272,1601337600000,2020-09-29,7.550000000000011
273,1601424000000,2020-09-30,13.010000000000048
280,1602028800000,2020-10-07,8.490000000000009
281,1602115200000,2020-10-08,12.870000000000005
282,1602201600000,2020-10-09,12.03000000000003
283,1602288000000,2020-10-10,12.770000000000039
290,1602892800000,2020-10-17,1.8700000000000045
