Date,NEO Name,Diameter (km),Close Approach Date,Miss Distance (km)
2023-01-01,154347 (2002 XK4),3.6311147929,2023-Jan-01 18:44,49550752.618169028
2023-01-01,385186 (1994 AW1),1.7540419619,2023-Jan-01 19:45,33403488.363752804
2023-01-01,453309 (2008 VQ4),0.7482383761,2023-Jan-01 20:20,39565965.54503115
2023-01-01,(2014 QR295),1.2474983468,2023-Jan-01 13:38,39330824.77060562
2023-01-01,(2015 AE45),0.0517654482,2023-Jan-01 00:59,8526777.284930033
2023-01-01,(2015 LJ),0.0682401509,2023-Jan-01 17:33,64975962.736835246
2023-01-01,(2017 BQ93),0.4529392731,2023-Jan-01 09:38,15384364.649270981
2023-01-01,(2017 XY61),0.0342010925,2023-Jan-01 09:49,27322012.490044019
2023-01-01,(2018 VB10),0.0411187571,2023-Jan-01 22:31,39470300.39992781
2023-01-01,(2019 AE3),0.0196806745,2023-Jan-01 04:15,24802973.989504031
2023-01-01,(2019 YL),0.0411187571,2023-Jan-01 02:52,22247143.493534752
2023-01-01,(2019 YO4),0.2477650126,2023-Jan-01 02:48,73680551.900449409
2023-01-01,(2020 BT3),0.0459240286,2023-Jan-01 10:47,16841972.094007461
2023-01-01,(2021 AP1),0.1096579137,2023-Jan-01 16:46,10795251.111612603
2023-01-01,(2021 AX6),0.0248908644,2023-Jan-01 12:02,55685829.049663925
2023-01-01,(2021 NZ),0.1032856481,2023-Jan-01 16:03,69821079.922989993
2023-01-01,(2021 TU1),0.1845185269,2023-Jan-01 13:39,13984589.45222909
2023-01-01,(2022 OS),0.2606393469,2023-Jan-01 12:50,67297770.732376819
2023-01-01,(2022 YR1),0.0368162863,2023-Jan-01 20:45,6245509.728726767
2023-01-01,(2022 YM6),0.0529712204,2023-Jan-01 07:16,11493547.95370301
2023-01-01,(2022 YS6),0.0251211767,2023-Jan-01 01:15,1786448.575760344
2023-01-01,(2023 BN2),0.285785361,2023-Jan-01 23:21,45748404.34801252
2023-01-01,(2023 CA4),0.2301653685,2023-Jan-01 09:02,18795666.720170001
2023-01-04,350751 (2002 AW),0.4055458661,2023-Jan-04 11:59,54279218.815700456
2023-01-04,(2015 RD2),0.8356799428,2023-Jan-04 03:35,25962469.096974838
2023-01-04,(2018 PN22),0.0187948982,2023-Jan-04 23:43,11468354.984244808
2023-01-04,(2019 AY3),0.1023387195,2023-Jan-04 03:13,5225075.535362936
2023-01-04,(2020 HA10),0.933340215,2023-Jan-04 17:35,42014479.630349796
2023-01-04,(2022 AO2),0.0863057993,2023-Jan-04 09:30,32029066.43028682
2023-01-04,(2022 XW1),0.0549591464,2023-Jan-04 20:33,13627638.507437551
2023-01-04,(2022 XD2),0.0636854144,2023-Jan-04 13:40,15255399.616697121
2023-01-04,(2022 YS4),0.0424658654,2023-Jan-04 20:22,2300587.388084203
2023-01-04,(2023 AR1),0.3451755128,2023-Jan-04 02:29,57688690.272424073
2023-01-05,306383 (1993 VD),0.2992540101,2023-Jan-05 00:03,74512448.691120951
2023-01-05,(2000 WM63),0.5224442801,2023-Jan-05 17:05,50611991.500548734
2023-01-05,(2007 BT7),0.5675968529,2023-Jan-05 10:58,41772407.881888657
2023-01-05,(2014 QV296),0.1032856481,2023-Jan-05 10:40,70519325.393171842
2023-01-05,(2014 TC),0.0342010925,2023-Jan-05 01:36,52439994.938803855
2023-01-05,(2016 AJ165),0.0494356193,2023-Jan-05 08:15,39806600.106755199
2023-01-05,(2018 BP1),0.0714562102,2023-Jan-05 02:45,40350515.941268735
2023-01-05,(2018 XE4),0.0311917671,2023-Jan-05 21:39,8837356.181174712
2023-01-05,(2019 WC5),0.1905636132,2023-Jan-05 15:38,9759459.305633081
2023-01-05,(2019 YV1),0.0542050786,2023-Jan-05 22:09,73883361.224175651
2023-01-05,(2020 JN2),0.1032856481,2023-Jan-05 04:25,50288000.766304093
2023-01-05,(2021 EB3),0.0547066321,2023-Jan-05 15:27,8860641.89746871
2023-01-05,(2022 PF),0.0252371308,2023-Jan-05 15:00,69782983.419174515
2023-01-05,(2022 WB3),0.3499773825,2023-Jan-05 08:53,45226771.146155058
2023-01-05,(2022 WH3),0.0820427065,2023-Jan-05 15:53,18948126.367503527
2023-01-05,(2022 WT10),0.4875733714,2023-Jan-05 15:11,48747404.037823196
2023-01-05,(2022 YL4),0.0176213825,2023-Jan-05 21:44,1982840.150863586
2023-01-05,(2023 AE),0.0366471308,2023-Jan-05 09:47,1663888.949985209
2023-01-02,189173 (2002 XY4),0.9728367737,2023-Jan-02 09:52,42943223.733372779
2023-01-02,219071 (1997 US9),2.1779102496,2023-Jan-02 09:51,65714921.94052801
2023-01-02,(2017 HJ),0.0185370226,2023-Jan-02 22:49,50989788.02589734
2023-01-02,(2021 AT2),0.0208948847,2023-Jan-02 23:58,64867216.33510507
2023-01-02,(2021 NF),0.0666868155,2023-Jan-02 21:43,6837263.072521683
2023-01-02,(2021 RG6),0.0097732718,2023-Jan-02 21:39,27608609.381668572
2023-01-02,(2021 SV1),0.0300635304,2023-Jan-02 21:27,40644068.086663198
2023-01-02,(2022 LG5),0.3515928047,2023-Jan-02 04:21,16806630.046013571
