,Tenders,Location
0,"Beira Transport Corridor, Maputo Corridor Revitalization Technical Assistance, and Road and Coastal Shipping Projects",Mozambique
1,Hill Farming Technical Development Project,Pakistan
2,Second Education Project,Senegal
3,Secondary and Feeder Roads Project,Brazil
4,Urban Development Project,Egypt
5,Tin and Tungsten Expansion Project,Burma
6,Cotton Ginning Rehabilitation Project,Egypt
7,First and Second Highway Projects,Cyprus
8,Family Health Project,Zimbabwe
9,Water Supply and Sewerage Project,Jordan
10,Second and Third Dhaka and Second Chittagong Water Supply Projects,Bangladesh
11,External Sector and Investment Regime Liberalization Project,India
12,Industry Projects,Egypt
13,Jharia Coking Coal Project,India
14,Second Electrical and Mechanical Industries Project,Tunisia
15,Fertilizer Rationalization Project,China
16,Structural Adjustment Credit Project,Dominica
17,Second Coffee Processing and Marketing Project,Ethiopia
18,First and Second Structural Adjustment Loans and Structural Adjustment Credit Projects,Honduras
19,Yacyreta Hydroelectric and Electric Power Sector Projects,Argentina
20,Shanghai Machine Tool Project,China
21,Health and Population Project,Tunisia
22,Country Assistance Strategy progress report (CPSCR) and completion report (CASCR) review for the period FY09-12 : IEG review,Rwanda
23,Country partnership strategy for the period FY09-FY12 : IEG CPSCR review,Indonesia
