dataset_name,link
Locational banking statistics,https://www.bis.org/statistics/full_lbs_d_pub_csv.zip
Consolidated banking statistics,https://www.bis.org/statistics/full_cbs_pub_csv.zip
Debt securities statistics,https://www.bis.org/statistics/full_debt_sec2_pub_csv.zip
Credit to the non-financial sector,https://www.bis.org/statistics/full_tc_csv.zip
Credit-to-GDP gaps,https://www.bis.org/statistics/full_credit_gap_csv.zip
Debt service ratios for the private non-financial sector,https://www.bis.org/statistics/full_dsr_csv.zip
Global liquidity indicators,https://www.bis.org/statistics/full_gli_csv.zip
Exchange-traded derivatives statistics,https://www.bis.org/statistics/full_xtd_deriv_csv.zip
OTC derivatives outstanding,https://www.bis.org/statistics/full_otc_deriv2_csv.zip
"US dollar exchange rates (monthly, quarterly and annual)",https://www.bis.org/statistics/full_xru_csv.zip
"US dollar exchange rates (daily, horizontal time axis)",https://www.bis.org/statistics/full_xru_d_csv_col.zip
"US dollar exchange rates (daily, vertical time axis)",https://www.bis.org/statistics/full_xru_d_csv_row.zip
Effective exchange rate indices (monthly),https://www.bis.org/statistics/full_eer_m_csv.zip
"Effective exchange rate indices (daily, horizontal time axis)",https://www.bis.org/statistics/full_eer_d_csv_col.zip
"Effective exchange rate indices (daily, vertical time axis)",https://www.bis.org/statistics/full_eer_d_csv_row.zip
Triennial Survey statistics on turnover,https://www.bis.org/statistics/full_der_otc_tov_csv.zip
Property prices: selected series,https://www.bis.org/statistics/full_spp_csv.zip
Property prices: long series,https://www.bis.org/statistics/full_bis_long_pp_csv.zip
Payments and financial market infrastructures statistics,https://www.bis.org/statistics/full_bis_rb_csv.zip
Payments and financial market infrastructures statistics,https://www.bis.org/statistics/full_bis_rb_sdmx_ml21.zip
Consumer prices,https://www.bis.org/statistics/full_long_cpi_csv.zip
Policy rates (monthly),https://www.bis.org/statistics/full_cbpol_m_csv.zip
"Policy rates (daily, horizontal time axis)",https://www.bis.org/statistics/full_cbpol_d_csv_col.zip
"Policy rates (daily, vertical time axis)",https://www.bis.org/statistics/full_cbpol_d_csv_row.zip
