id,Null,uptime,country,location,ships,distinct,contributor,status,timezone,date,time,url
2766,,0 %,  Angola,Zaire,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3061,,100 %,  Argentina,Buenos Aires,18,18,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2502,,100 %,  Australia,Scarborough,64,64,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2070,,100 %,  Australia,"Nelson Bay, NSW",42,42,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2465,,0 %,  Australia,Darwin,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2637,,87 %,  Australia,Devonport,7,6,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2801,,0 %,  Australia,Glenorcky,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2556,,100 %,  Australia,Franklin,7,6,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2234,,98 %,  Australia,Mt Arthur (N.Tasmania),1,1,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2995,,100 %,  Australia,Kingston,10,9,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3354,,0 %,  Australia,Port Hedland,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2675,,100 %,  Australia,Sydney,16,16,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2999,,100 %,  Australia,Mount Hicks,6,5,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3292,,99 %,  Australia,"Oakleigh, Victoria",3,3,SARCNET,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2701,,96 %,  Australia,O'Connor,66,66,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2864,,0 %,  Australia,Morayfield,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2288,,100 %,  Australia,Johanna,5,5,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2936,,94 %,  Australia,Kettering,23,21,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2739,,90 %,  Australia,Townsville,44,44,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2520,,100 %,  Austria,Vienna,20,15,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2798,,100 %,  Austria,Linz,27,27,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3175,,100 %,  Austria,Vienna,3,0,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2984,,100 %,  Azerbaijan,Baku,40,40,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2445,,0 %,  Bahamas,Freeport,0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2145,,100 %,  Belgium,Antwerp2,476,47,Tresco Engineering,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3215,,79 %,  Belgium,Antwerp,1,0,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2292,,100 %,  Belgium,Gent,377,232,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2981,,95 %,  Belgium,Oostende,117,1,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2546,,100 %,  Belgium,Merchtem,26,1,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2127,,100 %,  Belgium,Izegem,101,0,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3459,,100 %,  Belgium,Oostende,94,2,Flanders Marine Institute,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3152,,100 %,  Belgium,Zeebrugge,207,34,Citymesh,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3359,,92 %,  Belgium,Schoten,50,4,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2061,,100 %,  Belgium,Ostend,45,0,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
3075,,100 %,  Belgium,Aalst,2,2,,Online,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,,Dead,India Standard Time,19/10/2021,21:05:40,https://www.aishub.net/stations?page=1
