timezone,date,time,vessels_online,stations_online,stations_offline
India Standard Time,19/10/2021,21:35:40,33783,774,156
India Standard Time,19/10/2021,21:35:50,33804,774,156
India Standard Time,19/10/2021,21:36:00,33814,774,156
India Standard Time,19/10/2021,21:36:10,33828,774,156
India Standard Time,19/10/2021,21:36:20,33841,774,156
India Standard Time,19/10/2021,21:36:30,33854,774,156
India Standard Time,19/10/2021,21:36:40,33783,774,156
India Standard Time,19/10/2021,21:36:50,33797,774,156
India Standard Time,19/10/2021,21:37:00,33802,774,156
India Standard Time,19/10/2021,21:37:10,33821,774,156
India Standard Time,19/10/2021,21:37:20,33837,774,156
India Standard Time,19/10/2021,21:37:30,33855,774,156
India Standard Time,19/10/2021,21:37:40,33796,774,156
India Standard Time,19/10/2021,21:37:50,33811,774,156
India Standard Time,19/10/2021,21:38:00,33827,774,156
India Standard Time,19/10/2021,21:38:10,33839,774,156
India Standard Time,19/10/2021,21:38:20,33859,774,156
India Standard Time,19/10/2021,21:38:30,33871,774,156
India Standard Time,19/10/2021,21:38:40,33796,774,156
India Standard Time,19/10/2021,21:38:50,33811,774,156
India Standard Time,19/10/2021,21:39:00,33826,774,156
India Standard Time,19/10/2021,21:39:10,33839,774,156
India Standard Time,19/10/2021,21:39:20,33857,774,156
India Standard Time,19/10/2021,21:39:30,33873,774,156
India Standard Time,19/10/2021,21:39:40,33806,774,156
India Standard Time,19/10/2021,21:39:50,33819,774,156
India Standard Time,19/10/2021,21:40:00,33834,774,156
India Standard Time,19/10/2021,21:40:10,33846,775,155
India Standard Time,19/10/2021,21:40:20,33865,775,155
India Standard Time,19/10/2021,21:40:30,33878,775,155
India Standard Time,19/10/2021,21:40:40,33818,775,155
India Standard Time,19/10/2021,21:40:50,33829,775,155
India Standard Time,19/10/2021,21:41:00,33839,775,155
India Standard Time,19/10/2021,21:41:10,33851,775,155
India Standard Time,19/10/2021,21:41:20,33872,775,155
India Standard Time,19/10/2021,21:41:30,33882,775,155
India Standard Time,19/10/2021,21:41:40,33804,775,155
India Standard Time,19/10/2021,21:41:50,33815,775,155
India Standard Time,19/10/2021,21:42:00,33832,775,155
India Standard Time,19/10/2021,21:42:10,33840,775,155
India Standard Time,19/10/2021,21:42:20,33860,775,155
India Standard Time,19/10/2021,21:42:30,33872,775,155
India Standard Time,19/10/2021,21:42:40,33785,775,155
India Standard Time,19/10/2021,21:42:50,33796,775,155
India Standard Time,19/10/2021,21:43:00,33809,775,155
India Standard Time,19/10/2021,21:43:10,33818,775,155
India Standard Time,19/10/2021,21:43:20,33833,775,155
India Standard Time,19/10/2021,21:43:31,33845,775,155
India Standard Time,19/10/2021,21:43:41,33792,775,155
India Standard Time,19/10/2021,21:43:51,33809,775,155
India Standard Time,19/10/2021,21:44:01,33819,775,155
India Standard Time,19/10/2021,21:44:11,33839,775,155
India Standard Time,19/10/2021,21:44:21,33854,775,155
