aug_id,original_id,sample_frequency,name,description,source,url,country_name,location,time stamp,Latitude,Longitude
aishub2766,2766,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Angola,Zaire,India Standard Time 21:05:40 19/10/2021,-6.6152,13.57777
aishub3061,3061,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Argentina,Buenos Aires,India Standard Time 21:05:40 19/10/2021,-34.60849,-58.37344
aishub2502,2502,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Scarborough,India Standard Time 21:05:40 19/10/2021,-31.89805,115.76119
aishub2070,2070,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,"Nelson Bay, NSW",India Standard Time 21:05:40 19/10/2021,-32.72202,152.14351
aishub2465,2465,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Darwin,India Standard Time 21:05:40 19/10/2021,-12.46089,130.84153
aishub2637,2637,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Devonport,India Standard Time 21:05:40 19/10/2021,-41.17965,146.34708
aishub2801,2801,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Glenorchy,India Standard Time 21:05:40 19/10/2021,-36.90956,142.65848
aishub2556,2556,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Franklin,India Standard Time 21:05:40 19/10/2021,-43.0886,147.01125
aishub2234,2234,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Mt Arthur (N.Tasmania),India Standard Time 21:05:40 19/10/2021,-41.27,147.28
aishub2995,2995,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Kingston,India Standard Time 21:05:40 19/10/2021,-29.05459,167.96628
aishub3354,3354,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Port Hedland,India Standard Time 21:05:40 19/10/2021,-20.31346,118.57726
aishub2675,2675,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Sydney,India Standard Time 21:05:40 19/10/2021,-33.8696,151.20691
aishub2999,2999,Daily,aishub station time series data,List of stations from AIS HUB and their status with number of vessels online,AISHub,https://www.aishub.net/stations?page=1,Australia,Mount Hicks,India Standard Time 21:05:40 19/10/2021,-41.05125,145.74503
