,id,city,country,dt,humidity,pressure,wind_speed,temp.average,temp.average_max,temp.average_min,temp.record_max,temp.record_min
0,1850147.0,Tokyo,JP,1635465600,75.78,1016.44,3.9,288.69,291.56,286.03,295.44,282.94
1,1850147.0,Tokyo,JP,1635552000,65.55,1018.8,4.64,288.61,292.85,284.83,295.79,281.37
2,1850147.0,Tokyo,JP,1635638400,68.08,1020.57,3.3,287.72,291.22,284.06,294.72,281.01
3,1850147.0,Tokyo,JP,1635724800,69.86,1019.59,3.35,287.58,291.38,284.28,296.91,281.64
4,1850147.0,Tokyo,JP,1635811200,73.56,1015.73,4.23,288.18,291.6,285.33,295.29,282.12
5,1850147.0,Tokyo,JP,1635897600,63.32,1014.83,4.26,288.09,292.08,284.49,294.14,280.51
6,1850147.0,Tokyo,JP,1635984000,62.34,1018.93,4.28,287.34,291.62,283.58,293.56,281.29
7,1850147.0,Tokyo,JP,1636070400,63.76,1021.03,3.26,287.68,291.78,284.15,294.35,281.34
8,1850147.0,Tokyo,JP,1636156800,67.5,1019.5,3.39,288.39,292.42,285.27,294.3,280.16
9,1850147.0,Tokyo,JP,1636243200,68.36,1017.83,4.28,288.21,291.72,284.87,295.54,277.89
10,1850147.0,Tokyo,JP,1636329600,68.76,1016.9,4.07,287.97,291.35,284.82,294.92,282.09
11,1850147.0,Tokyo,JP,1636416000,63.07,1016.5,4.27,287.12,290.6,284.06,294.55,278.06
12,1850147.0,Tokyo,JP,1636502400,60.58,1016.16,4.68,287.65,291.47,284.18,294.98,279.42
13,1850147.0,Tokyo,JP,1636588800,63.0,1016.88,4.9,286.23,290.05,283.01,293.52,280.1
14,1850147.0,Tokyo,JP,1636675200,62.61,1018.03,4.08,286.02,289.5,282.48,295.15,278.88
15,1850147.0,Tokyo,JP,1636761600,63.28,1017.2,4.15,286.63,290.56,283.26,293.08,277.74
16,1850147.0,Tokyo,JP,1636848000,67.08,1015.98,3.38,286.35,290.05,282.71,294.15,279.04
17,1850147.0,Tokyo,JP,1636934400,66.36,1016.01,3.69,285.75,290.15,281.18,292.34,278.95
18,1850147.0,Tokyo,JP,1637020800,60.56,1018.15,3.15,285.91,290.2,282.42,293.63,279.06
19,1850147.0,Tokyo,JP,1637107200,61.62,1018.42,3.73,286.42,290.66,282.62,295.73,277.38
20,1850147.0,Tokyo,JP,1637193600,72.73,1013.94,4.79,286.77,290.56,283.1,294.37,279.13
21,1850147.0,Tokyo,JP,1637280000,66.05,1015.48,4.76,285.7,289.62,281.97,297.09,276.16
22,1850147.0,Tokyo,JP,1637366400,68.01,1016.85,4.08,284.58,288.26,281.04,296.98,276.09
23,1850147.0,Tokyo,JP,1637452800,65.11,1020.92,4.06,285.03,289.18,281.25,292.74,274.59
24,1850147.0,Tokyo,JP,1637539200,71.37,1018.02,4.29,284.93,288.37,281.35,292.96,276.74
25,1850147.0,Tokyo,JP,1637625600,71.15,1018.51,4.39,284.8,288.41,281.42,293.25,274.14
26,1850147.0,Tokyo,JP,1637712000,73.26,1018.08,3.89,283.76,286.91,280.77,292.87,272.22
27,1850147.0,Tokyo,JP,1637798400,77.08,1017.94,4.75,283.31,286.9,279.78,294.4,274.89
28,1850147.0,Tokyo,JP,1637884800,71.78,1018.53,4.33,284.31,287.46,281.61,292.34,278.66
29,1850147.0,Tokyo,JP,1637971200,74.11,1015.31,3.59,284.3,287.23,281.6,290.13,277.32
0,1273294.0,Delhi,IN,1635465600,60.94,1013.27,1.57,296.3,302.87,290.41,305.15,286.46
1,1273294.0,Delhi,IN,1635552000,60.69,1012.9,1.7,296.48,303.89,290.11,311.15,286.46
2,1273294.0,Delhi,IN,1635638400,62.49,1012.98,1.81,296.19,302.79,290.42,304.15,286.75
3,1273294.0,Delhi,IN,1635724800,62.68,1013.4,1.97,296.33,302.95,290.51,305.15,287.15
