Title,date,value
Count_Person_10To19Years,1995,8752010
Count_Person_10To19Years,1996,8890610
Count_Person_10To19Years,1997,9021820
Count_Person_10To19Years,1998,9131190
Count_Person_10To19Years,1999,9239710
Count_Person_10To19Years,2000,9330890
Count_Person_10To19Years,2001,9372480
Count_Person_10To19Years,2002,9349330
Count_Person_10To19Years,2003,9278660
Count_Person_10To19Years,2004,9195820
Count_Person_10To19Years,2005,9081210
Count_Person_10To19Years,2006,8946280
Count_Person_10To19Years,2007,8798740
Count_Person_10To19Years,2008,8653330
Count_Person_10To19Years,2009,8458570
Count_Person_10To19Years,2010,8282370
Count_Person_10To19Years,2011,8012440
Count_Person_10To19Years,2012,7917040
Count_Person_10To19Years,2013,7846460
Count_Person_10To19Years,2014,7784880
Count_Person_10To19Years,2015,7775620
Count_Person_10To19Years,2016,7885630
Count_Person_10To19Years,2017,7851070
Count_Person_10To19Years,2018,7763340
Count_Person_10To19Years,2019,7705660
