Title,date,value
FertilityRate_Person_Female,1960,5.921
FertilityRate_Person_Female,1961,5.937
FertilityRate_Person_Female,1962,5.953
FertilityRate_Person_Female,1963,5.969
FertilityRate_Person_Female,1964,5.979
FertilityRate_Person_Female,1965,5.941
FertilityRate_Person_Female,1966,5.881
FertilityRate_Person_Female,1967,5.825
FertilityRate_Person_Female,1968,5.76
FertilityRate_Person_Female,1969,5.684
FertilityRate_Person_Female,1970,5.624
FertilityRate_Person_Female,1971,5.565
FertilityRate_Person_Female,1972,5.482
FertilityRate_Person_Female,1973,5.402
FertilityRate_Person_Female,1974,5.325
FertilityRate_Person_Female,1975,5.195
FertilityRate_Person_Female,1976,5.13
FertilityRate_Person_Female,1977,5.007
FertilityRate_Person_Female,1978,4.888
FertilityRate_Person_Female,1979,4.808
FertilityRate_Person_Female,1980,4.775
FertilityRate_Person_Female,1981,4.698
FertilityRate_Person_Female,1982,4.62
FertilityRate_Person_Female,1983,4.565
FertilityRate_Person_Female,1984,4.516
FertilityRate_Person_Female,1985,4.432
FertilityRate_Person_Female,1986,4.399
FertilityRate_Person_Female,1987,4.311
FertilityRate_Person_Female,1988,4.222
FertilityRate_Person_Female,1989,4.132
FertilityRate_Person_Female,1990,4.045
FertilityRate_Person_Female,1991,3.959
FertilityRate_Person_Female,1992,3.877
FertilityRate_Person_Female,1993,3.799
FertilityRate_Person_Female,1994,3.723
FertilityRate_Person_Female,1995,3.651
FertilityRate_Person_Female,1996,3.582
FertilityRate_Person_Female,1997,3.514
FertilityRate_Person_Female,1998,3.446
FertilityRate_Person_Female,1999,3.383
FertilityRate_Person_Female,2000,3.35
FertilityRate_Person_Female,2001,3.303
FertilityRate_Person_Female,2002,3.217
FertilityRate_Person_Female,2003,3.122
FertilityRate_Person_Female,2004,3.046
FertilityRate_Person_Female,2005,2.958
FertilityRate_Person_Female,2006,2.864
FertilityRate_Person_Female,2007,2.784
FertilityRate_Person_Female,2008,2.718
FertilityRate_Person_Female,2009,2.673
FertilityRate_Person_Female,2010,2.603
FertilityRate_Person_Female,2011,2.536
FertilityRate_Person_Female,2012,2.467
FertilityRate_Person_Female,2013,2.406
FertilityRate_Person_Female,2014,2.306
FertilityRate_Person_Female,2015,2.287
FertilityRate_Person_Female,2016,2.273
FertilityRate_Person_Female,2017,2.2
FertilityRate_Person_Female,2018,2.177
FertilityRate_Person_Female,2019,2.109
FertilityRate_Person_Female,2020,2.051
FertilityRate_Person_Female,2021,2.031
