,station_ID,country_code,region_name,region_code,nearest_city,city,district,state,postcode,last_signal
0,2766,AGO,Zaire,"ZA , AGO",N'zeto,,,Zaire,,28/09/21 12:15
1,3061,ARG,Buenos Aires,"BA , ARG",Tigre,San Fernando,Partido de San Fernando,Buenos Aires,1646,15/11/21 14:35
2,2556,AUS,Franklin,"FR , AUS",Franklin,,,Tasmania,7113,15/11/21 14:35
3,2288,AUS,Johanna,"JO , AUS",Apollo Bay,,,Victoria,3238,15/11/21 14:35
4,2675,AUS,Sydney,"SY , AUS",Curl Curl,Sydney,,New South Wales,2096,15/11/21 14:35
5,2999,AUS,Mount Hicks,"MH , AUS",Wynyard,,,Tasmania,7325,15/11/21 14:35
6,2234,AUS,Mt Arthur,"MA , AUS",Mayfield,,,Tasmania,7268,21/10/21 7:00
7,2995,AUS,Kingston,"KI , AUS",Kingston,Hobart,,Tasmania,7050,15/11/21 14:35
8,2070,AUS,"Nelson Bay,","NB , AUS",Nelson Bay,,,New South Wales,2315,15/11/21 14:35
9,2936,AUS,Kettering,"KE , AUS",Kettering,,,Tasmania,7155,15/11/21 14:35
10,2502,AUS,Scarborough,"SC , AUS",Scarborough,,,Queensland,4020,15/11/21 14:35
11,2701,AUS,O'Connor,"O' , AUS",Palmyra,,,Western Australia,6183,15/11/21 14:35
12,3292,AUS,"Oakleigh, Victoria","OV , AUS",Hughesdale,Melbourne,,Victoria,3166,15/11/21 14:35
13,3354,AUS,Port Hedland,"PH , AUS",Port Hedland,Port Hedland,,Western Australia,6721,15/11/21 14:35
14,2637,AUS,Devonport,"DE , AUS",Devonport,,,Tasmania,,15/11/21 14:35
15,2739,AUS,Townsville,"TO , AUS",Kirwan,,,Queensland,4818,15/11/21 14:35
16,2520,AUT,Vienna,"VI , AUT",Vösendorf,Wien,,,1100,15/11/21 14:35
17,3175,AUT,Vienna,"VI , AUT",Gerasdorf bei Wien,Wien,,,1220,15/11/21 14:35
18,2798,AUT,Linz,"LI , AUT",Linz,Linz,,Oberösterreich,4020,15/11/21 14:35
19,2984,AZE,Baku,"BA , AZE",Zyrya,,Bakı İnzibati Ərazisi,Bakı,,15/11/21 14:35
20,3215,BEL,Antwerp,"AN , BEL",Antwerpen,Antwerpen,,Antwerpen,2030,15/11/21 14:35
21,3152,BEL,Zeebrugge,"ZE , BEL",Zeebrugge,Brugge,,West-Vlaanderen,8380,15/11/21 14:35
22,3075,BEL,Aalst,"AA , BEL",Aalst,,,Oost-Vlaanderen,9308,15/11/21 14:35
23,3459,BEL,Oostende,"OO , BEL",Ostend,Oostende,,West-Vlaanderen,8400,15/11/21 14:35
24,2546,BEL,Merchtem,"ME , BEL",Nieuwpoort,,,West-Vlaanderen,8434,15/11/21 14:35
25,2127,BEL,Izegem,"IZ , BEL",Izegem,,,West-Vlaanderen,8870,15/11/21 14:35
26,2276,BEL,Schilde,"SC , BEL",Schilde,,,Antwerpen,2970,15/11/21 14:35
27,3249,BEL,Antwerp,"AN , BEL",Antwerpen,Antwerpen,,Antwerpen,2000,10/11/21 16:45
28,2300,BEL,Antwerp Harbour,"AH , BEL",Schilde,,,Antwerpen,2970,15/11/21 14:35
29,2981,BEL,Oostende,"OO , BEL",Ostend,Oostende,,West-Vlaanderen,8400,10/11/21 12:25
30,3359,BEL,Schoten,"SC , BEL",Schoten,,,Antwerpen,2900,15/11/21 14:35
31,3483,BEL,WIjnegem,"WI , BEL",Wijnegem,,,Antwerpen,2110,15/11/21 14:35
32,2061,BEL,Ostend,"OS , BEL",Ostend,Oostende,,West-Vlaanderen,8400,15/11/21 14:35
33,2145,BEL,Antwerp2,"AN , BEL",Antwerpen,Antwerpen,,Antwerpen,2030,15/11/21 14:35
34,2404,BEL,Bruges,"BR , BEL",Brugge,Brugge,,West-Vlaanderen,8200,15/11/21 14:35
35,2292,BEL,Gent,"GE , BEL",Sint-Martens-Latem,Gent,,Oost-Vlaanderen,9031,15/11/21 14:35
36,2517,BRA,Belem,"BE , BRA",Belém,Belém,Região Geográfica Intermediária de Belém,Pará,66020-610,15/11/21 14:35
37,2850,BRA,Fortaleza,"FO , BRA",Fortaleza,Fortaleza,Região Geográfica Intermediária de Fortaleza,Ceará,60180-410,15/11/21 14:35
38,3489,BRA,Maceio,"MA , BRA",Marechal Deodoro,,Região Geográfica Intermediária de Maceió,Alagoas,57160000,15/11/21 14:35
39,2372,CAN,Vancouver,"VA , CAN",West End,Vancouver,,British Columbia,V6Z,15/11/21 14:35
40,2025,CAN,"Windsor, Ontario","WO , CAN",Windsor,Windsor,Southwestern Ontario,Ontario,N9A 5K9,15/11/21 14:35
41,2676,CAN,Toronto,"TO , CAN",Toronto,Old Toronto,Golden Horseshoe,Ontario,M5H 2N2,15/11/21 14:35
42,3145,CAN,Vancouver,"VA , CAN",North Vancouver,North Vancouver,,British Columbia,V7M,15/11/21 14:35
