,station_ID,country_code,country_name,region_name,region_code,nearest_city,city,district,state,postcode,last_signal
0,2766,AGO,Angola,Zaire,"ZA , AGO",N'zeto,,,Zaire,,2021-09-28 12:15:01
1,3061,ARG,Argentina,Buenos Aires,"BA , ARG",Tigre,San Fernando,Partido de San Fernando,Buenos Aires,1646,2021-11-15 01:35:01
2,2675,AUS,Australia,Sydney,"SY , AUS",Curl Curl,Sydney,,New South Wales,2096,2021-11-15 01:35:01
3,2234,AUS,Australia,Mt Arthur,"MA , AUS",Mayfield,,,Tasmania,7268,2021-10-21 07:00:02
4,2999,AUS,Australia,Mount Hicks,"MH , AUS",Wynyard,,,Tasmania,7325,2021-11-15 01:35:01
5,2995,AUS,Australia,Kingston,"KI , AUS",Kingston,Hobart,,Tasmania,7050,2021-11-15 01:35:01
6,2936,AUS,Australia,Kettering,"KE , AUS",Kettering,,,Tasmania,7155,2021-11-15 01:35:01
7,3292,AUS,Australia,"Oakleigh, Victoria","OV , AUS",Hughesdale,Melbourne,,Victoria,3166,2021-11-15 01:35:01
8,2701,AUS,Australia,O'Connor,"O' , AUS",Palmyra,,,Western Australia,6183,2021-11-15 01:35:01
9,2556,AUS,Australia,Franklin,"FR , AUS",Franklin,,,Tasmania,7113,2021-11-15 01:35:01
10,3354,AUS,Australia,Port Hedland,"PH , AUS",Port Hedland,Port Hedland,,Western Australia,6721,2021-11-15 01:35:02
11,2288,AUS,Australia,Johanna,"JO , AUS",Apollo Bay,,,Victoria,3238,2021-11-15 01:35:01
12,2637,AUS,Australia,Devonport,"DE , AUS",Devonport,,,Tasmania,,2021-11-15 01:35:01
13,2739,AUS,Australia,Townsville,"TO , AUS",Kirwan,,,Queensland,4818,2021-11-10 14:35:01
14,2070,AUS,Australia,"Nelson Bay,","NB , AUS",Nelson Bay,,,New South Wales,2315,2021-11-15 01:35:01
15,2502,AUS,Australia,Scarborough,"SC , AUS",Scarborough,,,Queensland,4020,2021-11-15 01:35:01
16,2520,AUT,Austria,Vienna,"VI , AUT",Vösendorf,Wien,,,1100,2021-11-15 01:35:01
17,3175,AUT,Austria,Vienna,"VI , AUT",Gerasdorf bei Wien,Wien,,,1220,2021-11-15 01:35:01
18,2798,AUT,Austria,Linz,"LI , AUT",Linz,Linz,,Oberösterreich,4020,2021-11-15 01:35:01
19,2984,AZE,Azerbaijan,Baku,"BA , AZE",Zyrya,,Bakı İnzibati Ərazisi,Bakı,,2021-11-15 01:35:01
20,3215,BEL,Belgium,Antwerp,"AN , BEL",Antwerpen,Antwerpen,,Antwerpen,2030,2021-11-15 00:05:02
21,3152,BEL,Belgium,Zeebrugge,"ZE , BEL",Zeebrugge,Brugge,,West-Vlaanderen,8380,2021-11-15 01:35:01
22,2546,BEL,Belgium,Merchtem,"ME , BEL",Nieuwpoort,,,West-Vlaanderen,8434,2021-11-15 01:35:01
23,3075,BEL,Belgium,Aalst,"AA , BEL",Aalst,,,Oost-Vlaanderen,9308,2021-11-15 01:35:01
24,3249,BEL,Belgium,Antwerp,"AN , BEL",Antwerpen,Antwerpen,,Antwerpen,2000,2021-11-10 16:45:02
25,2061,BEL,Belgium,Ostend,"OS , BEL",Ostend,Oostende,,West-Vlaanderen,8400,2021-11-15 01:35:01
26,2145,BEL,Belgium,Antwerp2,"AN , BEL",Antwerpen,Antwerpen,,Antwerpen,2030,2021-11-15 01:35:01
27,3359,BEL,Belgium,Schoten,"SC , BEL",Schoten,,,Antwerpen,2900,2021-11-15 01:35:02
28,2404,BEL,Belgium,Bruges,"BR , BEL",Brugge,Brugge,,West-Vlaanderen,8200,2021-11-15 01:35:01
29,2292,BEL,Belgium,Gent,"GE , BEL",Sint-Martens-Latem,Gent,,Oost-Vlaanderen,9031,2021-11-15 01:35:01
30,3483,BEL,Belgium,WIjnegem,"WI , BEL",Wijnegem,,,Antwerpen,2110,2021-11-15 01:35:02
31,2981,BEL,Belgium,Oostende,"OO , BEL",Ostend,Oostende,,West-Vlaanderen,8400,2021-11-10 12:25:02
32,2127,BEL,Belgium,Izegem,"IZ , BEL",Izegem,,,West-Vlaanderen,8870,2021-11-15 01:35:01
33,3459,BEL,Belgium,Oostende,"OO , BEL",Ostend,Oostende,,West-Vlaanderen,8400,2021-11-15 01:35:02
34,2276,BEL,Belgium,Schilde,"SC , BEL",Schilde,,,Antwerpen,2970,2021-11-15 01:35:01
35,2300,BEL,Belgium,Antwerp Harbour,"AH , BEL",Schilde,,,Antwerpen,2970,2021-11-15 01:35:01
36,3489,BRA,Brazil,Maceio,"MA , BRA",Marechal Deodoro,,Região Geográfica Intermediária de Maceió,Alagoas,57160000,2021-11-15 01:35:02
37,2517,BRA,Brazil,Belem,"BE , BRA",Belém,Belém,Região Geográfica Intermediária de Belém,Pará,66020-610,2021-11-15 01:35:01
38,2850,BRA,Brazil,Fortaleza,"FO , BRA",Fortaleza,Fortaleza,Região Geográfica Intermediária de Fortaleza,Ceará,60180-410,2021-11-15 01:35:01
39,2463,CAN,Canada,Prince Rupert,"PR , CAN",Prince Rupert,Prince Rupert,,British Columbia,V8J 2B6,2021-11-15 01:35:01
40,2042,CAN,Canada,Vancouver,"VA , CAN",Vancouver,Vancouver,,British Columbia,V5Z 2C4,2021-11-15 01:35:01
41,2267,CAN,Canada,Dartmouth,"DA , CAN",Dartmouth,Dartmouth,,Nova Scotia,B2Y 4T5,2021-11-15 01:35:01
42,2202,CAN,Canada,Ucluelet,"UC , CAN",Ucluelet,Ucluelet,,British Columbia,V0R 3A0,2021-11-15 01:35:01
43,2955,CAN,Canada,Bowen Island,"BI , CAN",Bowen Island,Bowen Island Municipality,,British Columbia,V0N 1G0,2021-11-15 01:35:01
44,2218,CAN,Canada,"Newfoundland, St.","NS , CAN",Saint-Augustin,,Labrador,Newfoundland and Labrador,,2021-11-15 01:35:01
45,3145,CAN,Canada,Vancouver,"VA , CAN",North Vancouver,North Vancouver,,British Columbia,V7M,2021-11-15 01:35:01
46,2253,CAN,Canada,Montreal,"MO , CAN",Kirkland,,,Québec,H9H 4P8,2021-11-15 01:35:01
47,2821,CAN,Canada,Burnaby,"BU , CAN",Burnaby,Burnaby,,British Columbia,V5C 5W7,2021-11-15 01:35:01
48,2818,CAN,Canada,Montreal,"MO , CAN",Montréal,Montréal,,Québec,H2V 3R5,2021-11-15 01:35:01
49,3201,CAN,Canada,Sorel-Tracy,"SO , CAN",Mont-Saint-Hilaire,,,Québec,J0H 1S0,2021-11-15 01:35:01
50,2660,CAN,Canada,Sorel-Tracy,"SO , CAN",Contrecoeur,,,Québec,J0L 1C0,2021-11-15 01:35:01
51,2372,CAN,Canada,Vancouver,"VA , CAN",West End,Vancouver,,British Columbia,V6Z,2021-11-15 01:35:01
52,2857,CAN,Canada,Vancouver,"VA , CAN",North Vancouver,Vancouver,,British Columbia,V5K,2021-11-15 01:35:01
53,3238,CAN,Canada,East Point,"EP , CAN",Point Roberts,Southern Gulf Islands Electoral Area,,British Columbia,V0N 2Y0,2021-11-15 01:35:01
54,3185,CAN,Canada,Halifax,"HA , CAN",Halifax,Halifax,,Nova Scotia,B3H 2P8,2021-11-15 01:35:01
55,2700,CAN,Canada,Sorel-Tracy,"SO , CAN",Lanoraie,Sorel-Tracy,,Québec,J3R 5M7,2021-11-15 01:35:01
56,2025,CAN,Canada,"Windsor, Ontario","WO , CAN",Windsor,Windsor,Southwestern Ontario,Ontario,N9A 5K9,2021-11-15 01:35:01
57,2920,CAN,Canada,Burnaby,"BU , CAN",Burnaby,Burnaby,,British Columbia,V5A 1E7,2021-11-15 01:35:01
58,3401,CAN,Canada,Longueuil,"LO , CAN",Longueuil,Longueuil,,Québec,J4H 3H6,2021-11-15 01:35:02
59,2853,CAN,Canada,Vancouver,"VA , CAN",Point Roberts,Southern Gulf Islands Electoral Area,,British Columbia,,2021-11-15 01:35:01
60,2019,CAN,Canada,"Victoria, BC","VB , CAN",Oak Bay,,,British Columbia,V8S 5H3,2021-11-15 01:35:01
61,3103,CAN,Canada,Multiple Locations,"ML , CAN",Point Roberts,,,Washington,98281,2021-11-15 01:35:01
62,2848,CAN,Canada,Victoria,"VI , CAN",Oak Bay,,,British Columbia,V8N 3X2,2021-11-15 01:35:01
63,2593,CAN,Canada,Prince Rupert,"PR , CAN",Prince Rupert,Prince Rupert,,British Columbia,V8J 1A2,2021-11-15 01:35:01
64,2017,CAN,Canada,Corner Brook,"CB , CAN",Corner Brook,Corner Brook,Newfoundland,Newfoundland and Labrador,A2H 4M9,2021-11-15 01:35:01
65,2796,CAN,Canada,Victoria,"VI , CAN",Victoria,Victoria,,British Columbia,V8S 1G3,2021-11-15 01:35:01
66,2512,CAN,Canada,Quadra Island,"QI , CAN",Campbell River,Area B (Discovery Islands/Mainland Inlets),,British Columbia,V0P 1H0,2021-11-15 01:35:01
67,2890,CAN,Canada,Montreal,"MO , CAN",Mont-Royal,Montréal,,Québec,H2R 1W7,2021-11-15 01:35:01
68,2676,CAN,Canada,Toronto,"TO , CAN",Toronto,Old Toronto,Golden Horseshoe,Ontario,M5H 2N2,2021-11-15 01:35:01
69,2215,CAN,Canada,Burnaby,"BU , CAN",North Vancouver,Burnaby,,British Columbia,V5C 2H5,2021-11-10 09:50:01
70,3083,CAN,Canada,New Westminster,"NW , CAN",New Westminster,New Westminster,,British Columbia,V3M 1E9,2021-11-15 01:35:01
71,3248,CHL,Chile,Concon,"CO , CHL",Viña del Mar,,,Región de Valparaíso,2510513,2021-11-04 17:35:02
72,2348,CHL,Chile,Viña del,"Vd , CHL",Viña del Mar,Viña del Mar,,Región de Valparaíso,2571546,2021-11-15 01:35:01
73,2083,CHN,China,Yangpu,"YA , CHN",Yangpu,杨浦区,,,200082,2021-11-15 01:35:01
74,2193,CHN,China,Xia Men,"XM , CHN",Haishiwan,,,青海省,,2021-11-15 01:35:01
76,2044,CHN,China,Fujian,"FU , CHN",Beijing,北京市,,北京市,100010,2021-11-15 01:35:01
77,2598,CHN,China,Beijing,"BE , CHN",Beijing,北京市,,北京市,100010,2021-11-15 01:35:01
78,2587,CHN,China,Beijing,"BE , CHN",Longshan,,,北京市,,2021-11-15 01:35:01
79,2113,CHN,China,Xiawan,"XI , CHN",Chongqing,渝中区,重庆市主城都市区,重庆市,,2021-09-05 18:40:01
80,2930,CHN,China,Chongqing,"CH , CHN",Chongqing,渝中区,重庆市主城都市区,重庆市,,2021-11-15 01:35:01
81,3394,CHN,China,Chongqing,"CH , CHN",Xiuying,秀英区,,海南省,570311,2021-11-15 01:35:02
82,2456,CHN,China,Haikou,"HA , CHN",Zhangjiagang,张家港市,,江苏省,215600,2021-11-09 06:00:02
83,2356,CHN,China,Zhangjiagang ,"ZH , CHN",Shenzhen,福田区,,广东省,518000,2021-11-15 01:35:01
84,2632,CHN,China,Shenzhen,"SH , CHN",Meizhou,梅州市,,广东省,514000,2021-11-14 08:00:02
85,2969,CHN,China,Meizhou Bay,"MB , CHN",House' s Joe Arroyo,Barranquilla,,Atlántico,80020,2021-11-15 01:35:01
86,2866,COL,Colombia,Puerto Colombia,"PC , COL",Buenaventura,Buenaventura,,Valle del Cauca,3.88773/-77.07722,2021-11-15 01:35:01
87,2362,COL,Colombia,Buenaventura,"BU , COL",House' s Joe Arroyo,Barranquilla,,Atlántico,080001,2021-11-15 01:35:01
88,2443,COL,Colombia,Barranquilla,"BA , COL",Kraljevica,,,,51262,2021-11-15 01:35:01
89,3439,HRV,Croatia,Kraljevica,"KR , HRV",Valbandon,,,,52212,2021-11-15 01:35:02
90,2690,HRV,Croatia,"Štinjan, Pula","ŠP , HRV",Páno Polemídia,Δήμος Κάτω Πολεμιδίων,Λεμεσός,Νότια Κύπρος,4186,2021-11-15 01:35:01
91,2524,CYP,Cyprus,Limassol,"LI , CYP",Limassol,Λεμεσός,Λεμεσός,Νότια Κύπρος,3048,2021-11-15 01:35:01
92,2255,CYP,Cyprus,Limassol,"LI , CYP",Limassol,Λεμεσός,Λεμεσός,Νότια Κύπρος,3117,2021-11-15 01:35:01
93,3093,CYP,Cyprus,Limassol,"LI , CYP",Skive,,,Region Midtjylland,7800,2021-11-15 01:35:01
94,2828,DNK,Denmark,Skive,"SK , DNK",Århus,Aarhus,,Region Midtjylland,8000,2021-11-15 01:35:01
95,2725,DNK,Denmark,Aarhus,"AA , DNK",Slagelse,,,Region Sjælland,,2021-11-15 01:35:01
96,3424,DNK,Denmark,Holbæk,"HO , DNK",Marstal,,,Region Syddanmark,5960,2021-11-15 01:35:02
97,3421,DNK,Denmark,Marstal,"MA , DNK",Nørresundby,Aalborg,,Region Nordjylland,9400,2021-11-15 01:35:02
98,2400,DNK,Denmark,Norresundby,"NO , DNK",Ebeltoft,,,Region Midtjylland,8400,2021-11-15 01:35:01
99,3417,DNK,Denmark,Ebeltoft,"EB , DNK",Korsør,,,Region Sjælland,4220,2021-11-15 01:35:02
100,3361,DNK,Denmark,Korsør,"KO , DNK",Skibby,,,Region Sjælland,4070,2021-11-15 01:35:02
101,2104,DNK,Denmark,Gershøj,"GE , DNK",Rønne,,,Region Hovedstaden,3700,2021-11-15 01:35:01
102,2327,DNK,Denmark,"Roenne, Bornholm ","RB , DNK",Holeby,,,,,2021-11-15 01:35:01
103,3497,DNK,Denmark,Rødby,"RØ , DNK",Lunderskov,,,Region Syddanmark,6640,2021-11-15 01:35:02
104,3130,DNK,Denmark,Lunderskov,"LU , DNK",Stavtrup,Aarhus,,Region Midtjylland,8210,2021-11-15 01:35:01
105,3179,DNK,Denmark,Aarhus,"AA , DNK",Humlebæk,,,Region Hovedstaden,3050,2021-11-15 01:35:01
106,2058,DNK,Denmark,Humlebaek,"HU , DNK",Frederikssund,,,Region Hovedstaden,3600,2021-11-15 01:35:01
107,2580,DNK,Denmark,Frederikssund,"FR , DNK",Haslev,,,Region Sjælland,4100,2021-11-15 01:35:01
108,2899,DNK,Denmark,Ringsted,"RI , DNK",Nakskov,,,Region Sjælland,4900,2021-11-15 01:35:01
109,2139,DNK,Denmark,Islands Brygge,"IB , DNK",Humlebæk,,,Region Hovedstaden,3050,2021-11-15 01:35:01
110,2545,DNK,Denmark,Sletten,"SL , DNK",Skagen,,,Region Nordjylland,9990,2021-11-15 01:35:01
111,2621,DNK,Denmark,Aalborg,"AA , DNK",Keila,,,,76921,2021-11-14 12:50:01
112,2527,EST,Estonia,Vaana-Joesuu,"VA , EST",Tallinn,Tallinn,,,10415,2021-11-15 01:35:01
113,2811,EST,Estonia,Tallinn,"TA , EST",Tabasalu,Tallinn,,,13522,2021-11-15 01:35:01
114,3340,EST,Estonia,Tallinn,"TA , EST",Tabasalu,Tallinn,,,13521,2021-11-15 01:35:01
115,2566,EST,Estonia,Tallinn,"TA , EST",Tallinn,Tallinn,,,11412,2021-11-15 01:35:01
116,2479,EST,Estonia,Tallinn,"TA , EST",Tallinn,Tallinn,,,10124,2021-11-15 01:35:01
117,3452,EST,Estonia,Tallinn,"TA , EST",Kokkola,Kokkola,Länsi- ja Sisä-Suomen aluehallintovirasto,,67800,2021-11-15 01:35:02
118,3155,FIN,Finland,Kokkola,"KO , FIN",Ekenäs,Raseborg,Etelä-Suomen aluehallintovirasto,,10620,2021-11-15 01:35:01
119,2190,FIN,Finland,Ekenas,"EK , FIN",Rauma,,Lounais-Suomen aluehallintovirasto,,26820,2021-11-15 01:35:01
120,2388,FIN,Finland,Finland,"FI , FIN",Replot,,Länsi- ja Sisä-Suomen aluehallintovirasto,,65930,2021-11-15 01:35:01
121,2481,FIN,Finland,Vaasa,"VA , FIN",Turku,Turku,Lounais-Suomen aluehallintovirasto,,20200,2021-11-15 01:35:01
122,3054,FIN,Finland,Turku,"TU , FIN",Houtskär,,Lounais-Suomen aluehallintovirasto,,,2021-11-15 01:35:01
123,2264,FIN,Finland,Uto,"UT , FIN",Turku,Turku,Lounais-Suomen aluehallintovirasto,,20520,2021-11-15 01:35:01
124,2695,FIN,Finland,Turku,"TU , FIN",Kallio,Helsinki,Etelä-Suomen aluehallintovirasto,,00550,2021-11-15 01:35:01
125,2380,FIN,Finland,Helsinki,"HE , FIN",Länsi-Turunmaa,,Lounais-Suomen aluehallintovirasto,,21630,2021-11-15 01:35:01
126,3385,FIN,Finland,Parainen,"PA , FIN",Sarzeau,,,Bretagne,56370,2021-11-15 01:35:02
127,2777,FRA,France,Sarzon,"SA , FRA",Vannes,,,Bretagne,56860,2021-10-18 22:30:01
128,2299,FRA,France,Sene-Vannes,"SE , FRA",Arbonne,,,Nouvelle-Aquitaine,64210,2021-11-15 01:35:01
129,2774,FRA,France,Bidart,"BI , FRA",Bezons,,,Île-de-France,92700,2021-11-15 01:35:01
130,2095,FRA,France,Bezons,"BE , FRA",Étel,,,Bretagne,56410,2021-10-23 10:40:01
131,2037,FRA,France,France,"FR , FRA",Mandelieu-la-Napoule,,,Provence-Alpes-Côte d'Azur,06210,2021-11-15 01:35:01
132,2572,FRA,France,Mandelieu La,"ML , FRA",Vallauris,,,Provence-Alpes-Côte d'Azur,06560,2021-11-15 01:35:01
133,2954,FRA,France,"Sophia Antipolis,","SA , FRA",Canteleu,,,Normandie,76380,2021-11-15 01:35:01
134,2178,FRA,France,Rouen,"RO , FRA",Lanvéoc,,,Bretagne,29470,2021-11-15 01:35:01
135,2421,FRA,France,Plougastel,"PL , FRA",Nice,Nice,,Provence-Alpes-Côte d'Azur,06108,2021-11-15 01:35:01
136,2195,FRA,France,Nice,"NI , FRA",Saint-Georges-de-Didonne,,,Nouvelle-Aquitaine,17110,2021-02-23 21:05:01
137,2166,FRA,France,Saint Georges,"SG , FRA",Sainte-Adresse,,,Normandie,76310,2021-11-15 01:35:01
138,2662,FRA,France,Le Havre,"LH , FRA",Calvi,,,Corse,20260,2021-11-15 01:35:01
139,2869,FRA,France,Calvi,"CA , FRA",Palavas-les-Flots,,,Occitanie,34250,2021-05-25 17:35:01
140,2817,FRA,France,Palavas les,"Pl , FRA",Fontaine-la-Mallet,Le Havre,,Normandie,76600,2021-11-15 01:35:01
141,2428,FRA,France,Le Havre,"LH , FRA",Larmor-Plage,,,Bretagne,56100,2021-11-15 01:35:01
142,2275,FRA,France,Lorient,"LO , FRA",Port-de-Bouc,,,Provence-Alpes-Côte d'Azur,13110,2021-11-15 01:35:01
143,2038,FRA,France,Port de,"Pd , FRA",La Rochelle,La Rochelle,,Nouvelle-Aquitaine,17000,2021-11-15 01:35:01
144,2653,FRA,France,La Rochelle,"LR , FRA",Plouzané,,,Bretagne,29280,2021-11-15 01:35:01
145,3353,FRA,France,Plouzane,"PL , FRA",Pérols,,,Occitanie,34130,2021-11-14 20:55:01
146,2749,FRA,France,Carnon,"CA , FRA",Fontaine-la-Mallet,Le Havre,,Normandie,76610,2021-11-15 01:35:01
147,3030,FRA,France,Le Havre,"LH , FRA",Arcachon,Lège-Cap-Ferret,,Nouvelle-Aquitaine,33950,2021-11-15 01:35:01
148,2431,FRA,France,Cap Ferret,"CF , FRA",Tancarville,,,Normandie,76430,2021-11-15 01:35:01
149,2180,FRA,France,Rouen,"RO , FRA",Brest,Brest,,Bretagne,29200,2021-11-15 01:35:01
150,2320,FRA,France,Brest,"BR , FRA",Fécamp,,,Normandie,76400,2021-11-15 01:35:01
151,2487,FRA,France,Fecamp,"FE , FRA",Malakoff,Paris,,Île-de-France,75007,2021-11-15 01:35:01
152,2693,FRA,France,Paris,"PA , FRA",Noirmoutier-en-l’Île,,,Pays de la Loire,85740,2021-11-15 01:35:01
153,3234,FRA,France,L'Epine,"L' , FRA",Sainte-Adresse,,,Normandie,76310,2021-11-15 01:35:01
154,2093,FRA,France,Rouen,"RO , FRA",Saint-Xandre,,,Nouvelle-Aquitaine,17138,2021-11-15 01:35:01
155,2486,FRA,France,Saint Xandre,"SX , FRA",Le Havre,Le Havre,,Normandie,7660,2021-11-15 01:35:01
156,2335,FRA,France,Le Havre,"LH , FRA",Grasse,,,Provence-Alpes-Côte d'Azur,06130,2021-11-15 01:35:01
157,2557,FRA,France,Grasse,"GR , FRA",Ramatuelle,,,Provence-Alpes-Côte d'Azur,83350,2021-11-15 01:35:01
158,2405,FRA,France,Cap Camarat,"CC , FRA",Toulouse,Toulouse,,Occitanie,31000,2021-11-15 01:35:01
159,2345,FRA,France,Toulouse,"TO , FRA",Brest,Brest,,Bretagne,29200,2021-11-15 01:35:01
160,2972,FRA,France,Brest,"BR , FRA",Aubervilliers,,,Île-de-France,93300,2021-11-15 01:35:01
161,2156,FRA,France,Aubervilliers,"AU , FRA",Carantec,,,Bretagne,29660,2021-11-15 01:35:01
162,3228,FRA,France,Carantec,"CA , FRA",Roscanvel,,,Bretagne,29280,2021-11-15 01:35:01
163,2415,FRA,France,Brest,"BR , FRA",Plogoff,,,Bretagne,29770,2021-11-15 01:35:01
164,3162,FRA,France,Cléden-Cap-Sizun,"CL , FRA",Biot,,,Provence-Alpes-Côte d'Azur,06100,2021-11-14 23:50:02
165,2102,FRA,France,Antibes,"AN , FRA",Brest,Brest,,Bretagne,29200,2021-11-15 01:35:01
166,2836,FRA,France,Brest,"BR , FRA",La Rochelle,La Rochelle,,Nouvelle-Aquitaine,17000,2021-11-15 01:35:01
167,2564,FRA,France,La Rochelle,"LR , FRA",Vannes,,,Bretagne,56000,2021-11-15 01:35:01
168,2471,FRA,France,UBS-Vannes,"UB , FRA",Roscanvel,,,Bretagne,29280,2021-11-15 01:35:01
169,2887,FRA,France,Plouzané,"PL , FRA",Sète,,,Occitanie,34200,2021-10-27 09:10:01
170,2730,FRA,France,Sète,"SÈ , FRA",Melun,,,Île-de-France,77350,2021-11-15 01:35:01
171,2960,FRA,France,Melun,"ME , FRA",La Seyne-sur-Mer,La Seyne-sur-Mer,,Provence-Alpes-Côte d'Azur,83500,2021-11-14 15:10:02
172,2467,FRA,France,La Seyne,"LS , FRA",Elmshorn,,,Schleswig-Holstein,25336,2021-11-15 01:35:01
173,3256,DEU,Germany,Hamburg,"HA , DEU",Dinslaken,,,Nordrhein-Westfalen,46539,2021-10-29 05:40:01
174,2072,DEU,Germany,Walsum,"WA , DEU",Emden,,,Niedersachsen,26723,2021-11-15 01:35:01
175,2728,DEU,Germany,Emden,"EM , DEU",Dettelbach,,,Bayern,97337,2021-11-15 01:35:01
176,2958,DEU,Germany,Dettelbach,"DE , DEU",Wismar,Wismar,,Mecklenburg-Vorpommern,23968,2021-11-15 01:35:01
177,2207,DEU,Germany,Wismar,"WI , DEU",Kleiner Grasbrook,Hamburg,,Hamburg,20539,2021-11-15 01:35:01
178,2673,DEU,Germany,Hamburg,"HA , DEU",Lilienthal,Bremen,,Bremen,28359,2021-11-11 22:05:02
179,2167,DEU,Germany,BIBA,"BI , DEU",Monheim am Rhein,,,Nordrhein-Westfalen,41539,2021-11-15 01:35:01
181,2877,DEU,Germany,Dormagen,"DO , DEU",Tespe,,,Schleswig-Holstein,21502,2021-11-15 01:35:01
182,2130,DEU,Germany,Lower Saxony,"LS , DEU",Rüsselsheim,,,Hessen,65428,2021-11-15 01:35:01
183,2603,DEU,Germany,Geesthacht,"GE , DEU",Glückstadt,,,Schleswig-Holstein,25348,2021-11-15 01:35:01
184,2216,DEU,Germany,Ruesselsheim am,"Ra , DEU",St. Georg,Hamburg,,Hamburg,20099,2021-11-15 00:05:01
185,2176,DEU,Germany,Glueckstadt,"GL , DEU",Lingen,,,Niedersachsen,49808,2021-11-15 01:35:01
186,3425,DEU,Germany,Hamburg,"HA , DEU",Adendorf,,,Niedersachsen,21337,2021-11-15 01:35:02
187,2663,DEU,Germany,Lingen,"LI , DEU",Hamm,Hamm,,Nordrhein-Westfalen,59067,2021-11-15 01:35:01
188,3366,DEU,Germany,Lüneburg,"LÜ , DEU",Heilbronn,Heilbronn,,Baden-Württemberg,74080,2021-11-15 01:35:02
189,2600,DEU,Germany,Hamm,"HA , DEU",Mönchhagen,,,Mecklenburg-Vorpommern,18182,2021-11-15 01:35:01
190,2717,DEU,Germany,Heilbronn,"HE , DEU",Mönchengladbach,Mönchengladbach,,Nordrhein-Westfalen,41236,2021-11-15 01:35:01
191,3364,DEU,Germany,Mönchhagen,"MÖ , DEU",Harburg,Hamburg,,Hamburg,21073,2021-11-15 01:35:02
192,3066,DEU,Germany,Düsseldorf,"DÜ , DEU",Wieren,,,Niedersachsen,29559,2021-11-07 00:10:01
193,2543,DEU,Germany,Hamburg,"HA , DEU",Frankfurt am Main,Frankfurt am Main,,Hessen,60599,2021-11-15 01:35:01
194,2186,DEU,Germany,Könau,"KÖ , DEU",Hamburg-Altstadt,Hamburg,,Hamburg,20095,2021-11-15 01:35:01
195,2865,DEU,Germany,Frankfurt,"FR , DEU",Mönkeberg,Kiel,,Schleswig-Holstein,24149,2021-11-15 01:35:01
196,2126,DEU,Germany,Cologne,"CO , DEU",Elmenhorst,Rostock,,Mecklenburg-Vorpommern,18119,2021-11-15 01:35:01
197,2760,DEU,Germany,Kiel,"KI , DEU",Brühl,,,Baden-Württemberg,68782,2021-11-15 01:35:01
198,2423,DEU,Germany,Rostock,"RO , DEU",Drochtersen,,,Niedersachsen,21706,2021-11-15 01:35:01
199,2759,DEU,Germany,Bruehl-Baden,"BR , DEU",Karlsruhe,Karlsruhe,,Baden-Württemberg,76131,2021-11-15 01:35:01
200,2551,DEU,Germany,"Elbe River,","ER , DEU",Mitte,Berlin,,Berlin,10178,2021-11-15 01:35:01
201,2861,DEU,Germany,Karlsruhe,"KA , DEU",Wesel,,,Nordrhein-Westfalen,46487,2021-11-15 01:35:01
202,2860,DEU,Germany,Berlin,"BE , DEU",Offenbach,Offenbach am Main,,Hessen,63067,2021-11-15 01:35:01
203,2568,DEU,Germany,Wesel,"WE , DEU",Gernsheim,,,Hessen,64579,2021-11-15 01:35:01
204,2382,DEU,Germany,Offenbach,"OF , DEU",Brandenburg an der Havel,,,Brandenburg,14772,2021-11-15 01:35:01
205,2989,DEU,Germany,Gernsheim,"GE , DEU",Neuruppin,,,Brandenburg,16816,2021-11-15 01:35:01
206,2858,DEU,Germany,Brandenburg,"BR , DEU",Ostseebad Kühlungsborn,,,Mecklenburg-Vorpommern,18225,2021-11-15 01:35:01
207,2359,DEU,Germany,Neuruppin,"NE , DEU",Frankfurt am Main,Frankfurt am Main,,Hessen,60599,2021-11-15 01:35:01
208,3496,DEU,Germany,Ostseebad Kühlungsborn,"OK , DEU",Syke,,,Niedersachsen,28857,2021-11-15 01:35:02
209,2531,DEU,Germany,Frankfurt,"FR , DEU",Harburg,Hamburg,,Hamburg,21073,2021-11-15 01:35:01
210,2754,DEU,Germany,Barrien,"BA , DEU",Bremerhaven,Bremerhaven,,Bremen,27568,2021-11-15 01:35:01
211,3409,DEU,Germany,Hamburg,"HA , DEU",Offenbach,Frankfurt am Main,,Hessen,,2021-11-10 18:35:02
