,aug_id,original_id,sample_frequency,name,description,units,source,url,domain,subdomain,country_name,region_name,region_code,city,location,map_coordinates,timestamps,country_code
17,openweather_map_api_9130147.0,9130147.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-19 00:00:00,JPN
18,openweather_map_api_9216547.0,9216547.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-20 00:00:00,JPN
19,openweather_map_api_9302947.0,9302947.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-21 00:00:00,JPN
20,openweather_map_api_9389347.0,9389347.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-22 00:00:00,JPN
21,openweather_map_api_9475747.0,9475747.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-23 00:00:00,JPN
22,openweather_map_api_9562147.0,9562147.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-24 00:00:00,JPN
23,openweather_map_api_9648547.0,9648547.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-25 00:00:00,JPN
24,openweather_map_api_9734947.0,9734947.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-26 00:00:00,JPN
25,openweather_map_api_9821347.0,9821347.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-27 00:00:00,JPN
26,openweather_map_api_9907747.0,9907747.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,Japan,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-28 00:00:00,JPN
