,Unnamed: 0,id,city,country,dt,humidity,pressure,wind_speed,temp.average,temp.average_max,temp.average_min,temp.record_max,temp.record_min,region_name,region_code
0,0,7661347.0,Tokyo,JPN,2021-11-02 00:00:00,73.25,1015.62,4.11,288.38,291.9,285.84,295.29,282.12,Japan,392
1,1,7747747.0,Tokyo,JPN,2021-11-03 00:00:00,63.32,1014.83,4.26,288.09,292.08,284.49,294.14,280.51,Japan,392
2,2,7834147.0,Tokyo,JPN,2021-11-04 00:00:00,62.34,1018.93,4.28,287.34,291.62,283.58,293.56,281.29,Japan,392
3,3,7920547.0,Tokyo,JPN,2021-11-05 00:00:00,63.76,1021.03,3.26,287.68,291.78,284.15,294.35,281.34,Japan,392
4,4,8006947.0,Tokyo,JPN,2021-11-06 00:00:00,67.5,1019.5,3.39,288.39,292.42,285.27,294.3,280.16,Japan,392
5,5,8093347.0,Tokyo,JPN,2021-11-07 00:00:00,68.36,1017.83,4.28,288.21,291.72,284.87,295.54,277.89,Japan,392
6,6,8179747.0,Tokyo,JPN,2021-11-08 00:00:00,68.76,1016.9,4.07,287.97,291.35,284.82,294.92,282.09,Japan,392
7,7,8266147.0,Tokyo,JPN,2021-11-09 00:00:00,63.07,1016.5,4.27,287.12,290.6,284.06,294.55,278.06,Japan,392
8,8,8352547.0,Tokyo,JPN,2021-11-10 00:00:00,60.58,1016.16,4.68,287.65,291.47,284.18,294.98,279.42,Japan,392
9,9,8438947.0,Tokyo,JPN,2021-11-11 00:00:00,63.0,1016.88,4.9,286.23,290.05,283.01,293.52,280.1,Japan,392
10,10,8525347.0,Tokyo,JPN,2021-11-12 00:00:00,62.61,1018.03,4.08,286.02,289.5,282.48,295.15,278.88,Japan,392
11,11,8611747.0,Tokyo,JPN,2021-11-13 00:00:00,63.28,1017.2,4.15,286.63,290.56,283.26,293.08,277.74,Japan,392
12,12,8698147.0,Tokyo,JPN,2021-11-14 00:00:00,67.08,1015.98,3.38,286.35,290.05,282.71,294.15,279.04,Japan,392
13,13,8784547.0,Tokyo,JPN,2021-11-15 00:00:00,66.36,1016.01,3.69,285.75,290.15,281.18,292.34,278.95,Japan,392
14,14,8870947.0,Tokyo,JPN,2021-11-16 00:00:00,60.56,1018.15,3.15,285.91,290.2,282.42,293.63,279.06,Japan,392
15,15,8957347.0,Tokyo,JPN,2021-11-17 00:00:00,61.62,1018.42,3.73,286.42,290.66,282.62,295.73,277.38,Japan,392
16,16,9043747.0,Tokyo,JPN,2021-11-18 00:00:00,72.73,1013.94,4.79,286.77,290.56,283.1,294.37,279.13,Japan,392
17,17,9130147.0,Tokyo,JPN,2021-11-19 00:00:00,66.05,1015.48,4.76,285.7,289.62,281.97,297.09,276.16,Japan,392
18,18,9216547.0,Tokyo,JPN,2021-11-20 00:00:00,68.01,1016.85,4.08,284.58,288.26,281.04,296.98,276.09,Japan,392
