,id,humidity,pressure,wind_speed,temp.average,temp.average_max,temp.average_min,temp.record_max,temp.record_min
0,7661347.0,73.25,1015.62,4.11,288.38,291.9,285.84,295.29,282.12
1,7747747.0,63.32,1014.83,4.26,288.09,292.08,284.49,294.14,280.51
2,7834147.0,62.34,1018.93,4.28,287.34,291.62,283.58,293.56,281.29
3,7920547.0,63.76,1021.03,3.26,287.68,291.78,284.15,294.35,281.34
4,8006947.0,67.5,1019.5,3.39,288.39,292.42,285.27,294.3,280.16
5,8093347.0,68.36,1017.83,4.28,288.21,291.72,284.87,295.54,277.89
6,8179747.0,68.76,1016.9,4.07,287.97,291.35,284.82,294.92,282.09
7,8266147.0,63.07,1016.5,4.27,287.12,290.6,284.06,294.55,278.06
8,8352547.0,60.58,1016.16,4.68,287.65,291.47,284.18,294.98,279.42
9,8438947.0,63.0,1016.88,4.9,286.23,290.05,283.01,293.52,280.1
10,8525347.0,62.61,1018.03,4.08,286.02,289.5,282.48,295.15,278.88
11,8611747.0,63.28,1017.2,4.15,286.63,290.56,283.26,293.08,277.74
12,8698147.0,67.08,1015.98,3.38,286.35,290.05,282.71,294.15,279.04
13,8784547.0,66.36,1016.01,3.69,285.75,290.15,281.18,292.34,278.95
14,8870947.0,60.56,1018.15,3.15,285.91,290.2,282.42,293.63,279.06
15,8957347.0,61.62,1018.42,3.73,286.42,290.66,282.62,295.73,277.38
16,9043747.0,72.73,1013.94,4.79,286.77,290.56,283.1,294.37,279.13
17,9130147.0,66.05,1015.48,4.76,285.7,289.62,281.97,297.09,276.16
18,9216547.0,68.01,1016.85,4.08,284.58,288.26,281.04,296.98,276.09
19,9302947.0,65.11,1020.92,4.06,285.03,289.18,281.25,292.74,274.59
20,9389347.0,71.37,1018.02,4.29,284.93,288.37,281.35,292.96,276.74
21,9475747.0,71.15,1018.51,4.39,284.8,288.41,281.42,293.25,274.14
22,9562147.0,73.26,1018.08,3.89,283.76,286.91,280.77,292.87,272.22
23,9648547.0,77.08,1017.94,4.75,283.31,286.9,279.78,294.4,274.89
24,9734947.0,71.78,1018.53,4.33,284.31,287.46,281.61,292.34,278.66
25,9821347.0,74.11,1015.31,3.59,284.3,287.23,281.6,290.13,277.32
26,9907747.0,63.54,1017.63,4.93,283.8,288.27,279.95,290.81,275.82
27,9994147.0,61.65,1019.12,4.06,282.74,286.6,278.84,290.79,274.68
28,10080547.0,64.68,1019.77,3.27,283.06,287.1,279.57,289.48,276.27
29,10166947.0,66.69,1017.37,4.04,283.25,287.01,279.64,290.08,276.52
30,7084494.0,63.53,1014.52,2.08,295.89,302.28,290.46,304.15,286.15
31,7170894.0,63.48,1014.13,2.18,295.98,302.01,290.4,304.34,285.96
32,7257294.0,61.82,1013.7,2.01,295.54,301.93,289.81,304.15,287.15
33,7343694.0,64.31,1013.09,2.12,294.61,300.88,289.62,303.15,287.94
34,7430094.0,56.56,1012.25,2.14,295.39,302.23,289.07,304.15,287.15
35,7516494.0,64.43,1014.39,1.91,294.6,300.83,288.93,304.15,286.15
36,7602894.0,64.23,1014.38,1.89,294.19,301.07,288.39,305.15,286.15
37,7689294.0,60.75,1014.44,2.04,294.72,301.34,288.12,304.15,286.15
38,7775694.0,54.59,1012.74,1.98,294.73,301.5,288.4,303.62,286.15
39,7862094.0,53.12,1013.82,2.12,294.24,301.1,287.96,303.15,285.15
40,7948494.0,57.95,1013.56,2.06,293.91,301.06,287.21,303.15,284.15
41,8034894.0,59.57,1014.53,2.05,294.14,301.22,288.25,303.15,284.65
42,8121294.0,61.81,1014.31,2.28,293.55,300.44,287.31,302.15,283.15
43,8207694.0,59.95,1014.25,2.36,293.6,300.65,287.67,305.15,282.15
44,8294094.0,56.5,1014.0,2.65,293.03,299.97,286.37,302.15,283.15
45,8380494.0,56.57,1014.15,2.58,292.51,299.89,286.09,301.27,282.15
46,8466894.0,59.11,1014.7,2.33,292.21,299.42,285.82,301.15,283.15
47,8553294.0,57.1,1014.27,2.21,292.12,299.45,285.73,301.15,282.55
48,8639694.0,57.2,1014.84,2.28,292.15,299.55,285.53,302.15,283.15
49,8726094.0,55.26,1014.78,2.17,291.85,299.53,285.11,303.68,282.15
50,8812494.0,54.96,1014.95,2.09,291.68,299.66,284.57,303.15,282.15
51,8898894.0,54.0,1013.77,2.2,292.1,299.58,285.21,301.62,282.15
52,8985294.0,53.12,1015.48,2.32,291.9,299.15,284.83,301.15,281.63
53,9071694.0,52.94,1014.78,2.43,292.36,299.65,285.49,302.68,283.21
54,9158094.0,54.01,1013.59,2.48,292.71,300.21,286.27,303.68,283.15
55,9244494.0,56.94,1014.58,2.43,292.29,298.76,285.82,302.15,283.15
