,id,country_name,country_code,region_name,region_code,city,location,map_coordinates,timestamps
0,7661347.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-02 00:00:00
1,7747747.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-03 00:00:00
2,7834147.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-04 00:00:00
3,7920547.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-05 00:00:00
4,8006947.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-06 00:00:00
5,8093347.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-07 00:00:00
6,8179747.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-08 00:00:00
7,8266147.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-09 00:00:00
8,8352547.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-10 00:00:00
9,8438947.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-11 00:00:00
10,8525347.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-12 00:00:00
11,8611747.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-13 00:00:00
12,8698147.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-14 00:00:00
13,8784547.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-15 00:00:00
14,8870947.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-16 00:00:00
15,8957347.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-17 00:00:00
16,9043747.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-18 00:00:00
17,9130147.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-19 00:00:00
18,9216547.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-20 00:00:00
19,9302947.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-21 00:00:00
20,9389347.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-22 00:00:00
21,9475747.0,Japan,JPN,Japan,392,Tokyo,"Tokyo, Japan","[[35.6828387, 139.7594549]]",2021-11-23 00:00:00
