,aug_id,gdacs:eventid,sample_frequency,title,description,units,source_abbr,link,domain,subdomain,tags,gdacs:country,gdacs:iso3,timestamps,lonlat,fromdate,region_name,region_code,location,state,country,city,locality,nieghbourhood
0,GDACS_1308444,1308444,7 days,"Green earthquake alert (Magnitude 4.9M, Depth:10km) in Kermadec Islands Region 01/02/2022 14:30 UTC, No people within 100km.","On 2/1/2022 2:30:03 PM, an earthquake occurred in Kermadec Islands Region potentially affecting No people within 100km. The earthquake had Magnitude 4.9M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308444,gdacs.org,www,"['EQ', 'Green']",Kermadec Islands Region,,"['Tue, 01 Feb 2022 14:30:03 GMT', 'Tue, 01 Feb 2022 14:30:03 GMT']","['-29.7937', '-176.225']","Tue, 01 Feb 2022 14:30:03 GMT",,,,,,,,
1,GDACS_1308443,1308443,7 days,"Green earthquake alert (Magnitude 5.4M, Depth:177.9km) in Papua New Guinea 01/02/2022 14:05 UTC, 490000 people within 100km.","On 2/1/2022 2:05:02 PM, an earthquake occurred in Papua New Guinea potentially affecting 490000 people within 100km. The earthquake had Magnitude 5.4M, Depth:177.9km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308443,gdacs.org,www,"['EQ', 'Green']",Papua New Guinea,PNG,"['Tue, 01 Feb 2022 14:05:02 GMT', 'Tue, 01 Feb 2022 14:05:02 GMT']","['-7.1084', '145.9978']","Tue, 01 Feb 2022 14:05:02 GMT",East Asia & Pacific,EAS,"Tsinjangogwi, Morobe, Papua New Guinea",Morobe,Papua New Guinea,Tsinjangogwi,,
2,GDACS_1000862,1000862,7 days,Green alert for tropical cyclone NINE-22. Population affected by Category 1 (120 km/h) wind speeds or higher is 0  (0 in Tropical Storm).,"From 31/01/2022 to 01/02/2022, a Tropical Storm (maximum wind speed of 102 km/h) NINE-22 was active in SWPacific. The cyclone affects these countries: New Caledonia, Vanuatu (vulnerability Medium). Estimated population affected by category 1 (120 km/h) wind speeds or higher is 0  (0 in tropical storm).",,GDACS,https://www.gdacs.org/report.aspx?eventtype=TC&eventid=1000862,gdacs.org,www,"['TC', 'Green']","New Caledonia, Vanuatu",NCL,"['Mon, 31 Jan 2022 18:00:00 GMT', 'Tue, 01 Feb 2022 12:00:00 GMT']","['-15.4', '153.9']","Mon, 31 Jan 2022 18:00:00 GMT",East Asia & Pacific,EAS,,,,,,
3,GDACS_1000859,1000859,7 days,Red alert for tropical cyclone BATSIRAI-22. Population affected by Category 1 (120 km/h) wind speeds or higher is 3.788 million .,"From 27/01/2022 to 01/02/2022, a Hurricane/Typhoon > 74 mph (maximum wind speed of 204 km/h) BATSIRAI-22 was active in SWIndian. The cyclone affects these countries: Madagascar (vulnerability High). Estimated population affected by category 1 (120 km/h) wind speeds or higher is 3.788 million .",,GDACS,https://www.gdacs.org/report.aspx?eventtype=TC&eventid=1000859,gdacs.org,www,"['TC', 'Red']",Madagascar,MDG,"['Thu, 27 Jan 2022 00:00:00 GMT', 'Tue, 01 Feb 2022 12:00:00 GMT']","['-17.2', '60.1']","Thu, 27 Jan 2022 00:00:00 GMT",Sub-Saharan Africa,SSF,,,,,,
4,GDACS_1308426,1308426,7 days,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in New Caledonia 01/02/2022 11:41 UTC, No people within 100km.","On 2/1/2022 11:41:35 AM, an earthquake occurred in New Caledonia potentially affecting No people within 100km. The earthquake had Magnitude 4.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308426,gdacs.org,www,"['EQ', 'Green']",New Caledonia,NCL,"['Tue, 01 Feb 2022 11:41:35 GMT', 'Tue, 01 Feb 2022 11:41:35 GMT']","['-23.0802', '170.4347']","Tue, 01 Feb 2022 11:41:35 GMT",East Asia & Pacific,EAS,,,,,,
5,GDACS_1308409,1308409,7 days,"Green earthquake alert (Magnitude 4.7M, Depth:32.23km) in Japan 01/02/2022 09:18 UTC, No people within 100km.","On 2/1/2022 9:18:36 AM, an earthquake occurred in Japan potentially affecting No people within 100km. The earthquake had Magnitude 4.7M, Depth:32.23km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308409,gdacs.org,www,"['EQ', 'Green']",Japan,JPN,"['Tue, 01 Feb 2022 09:18:36 GMT', 'Tue, 01 Feb 2022 09:18:36 GMT']","['32.6869', '141.774']","Tue, 01 Feb 2022 09:18:36 GMT",East Asia & Pacific,EAS,,,,,,
6,GDACS_1308404,1308404,7 days,"Green earthquake alert (Magnitude 4.8M, Depth:10km) in Northern Mid-Atlantic Ridge 01/02/2022 05:48 UTC, No people within 100km.","On 2/1/2022 5:48:56 AM, an earthquake occurred in Northern Mid-Atlantic Ridge potentially affecting No people within 100km. The earthquake had Magnitude 4.8M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308404,gdacs.org,www,"['EQ', 'Green']",Northern Mid-Atlantic Ridge,,"['Tue, 01 Feb 2022 05:48:56 GMT', 'Tue, 01 Feb 2022 05:48:56 GMT']","['28.8616', '-43.6394']","Tue, 01 Feb 2022 05:48:56 GMT",,,,,,,,
7,GDACS_1308349,1308349,7 days,"Green earthquake alert (Magnitude 4.7M, Depth:25.7km) in Chile 01/02/2022 01:39 UTC, 430000 people within 100km.","On 2/1/2022 1:39:51 AM, an earthquake occurred in Chile potentially affecting 430000 people within 100km. The earthquake had Magnitude 4.7M, Depth:25.7km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308349,gdacs.org,www,"['EQ', 'Green']",Chile,CHL,"['Tue, 01 Feb 2022 01:39:51 GMT', 'Tue, 01 Feb 2022 01:39:51 GMT']","['-40.3281', '-74.0512']","Tue, 01 Feb 2022 01:39:51 GMT",Latin America & Caribbean,LCN,"Huitrapulli, Los Lagos Region, Chile",Los Lagos Region,Chile,Huitrapulli,,
8,GDACS_1308348,1308348,7 days,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in Chile 01/02/2022 01:33 UTC, 230000 people within 100km.","On 2/1/2022 1:33:21 AM, an earthquake occurred in Chile potentially affecting 230000 people within 100km. The earthquake had Magnitude 4.6M, Depth:10km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308348,gdacs.org,www,"['EQ', 'Green']",Chile,CHL,"['Tue, 01 Feb 2022 01:33:21 GMT', 'Tue, 01 Feb 2022 01:33:21 GMT']","['-40.3578', '-74.2316']","Tue, 01 Feb 2022 01:33:21 GMT",Latin America & Caribbean,LCN,"Huitrapulli, Los Lagos Region, Chile",Los Lagos Region,Chile,Huitrapulli,,
9,GDACS_1308346,1308346,7 days,"Green earthquake alert (Magnitude 4.9M, Depth:107.42km) in Argentina 01/02/2022 00:52 UTC, 690000 people within 100km.","On 2/1/2022 12:52:42 AM, an earthquake occurred in Argentina potentially affecting 690000 people within 100km. The earthquake had Magnitude 4.9M, Depth:107.42km.",,GDACS,https://www.gdacs.org/report.aspx?eventtype=EQ&eventid=1308346,gdacs.org,www,"['EQ', 'Green']",Argentina,ARG,"['Tue, 01 Feb 2022 00:52:42 GMT', 'Tue, 01 Feb 2022 00:52:42 GMT']","['-31.3306', '-68.5308']","Tue, 01 Feb 2022 00:52:42 GMT",Latin America & Caribbean,LCN,"La Laja, San Juan, Argentina",San Juan,Argentina,La Laja,,
